areacd,total,value
E00070654,110,80
E00070656,62,47
E00070707,122,68
E00070708,134,122
E00070711,86,68
E00070715,100,81
E00070716,110,91
E00070717,103,67
E00070718,55,33
E00070719,86,68
E00070756,107,94
E00070757,91,71
E00070758,102,63
E00070759,109,81
E00070760,111,77
E00070762,139,101
E00070763,122,72
E00070764,121,25
E00070765,66,35
E00070766,115,103
E00070767,73,57
E00070768,90,76
E00070769,99,65
E00070770,117,87
E00070771,159,113
E00070772,163,131
E00070773,49,31
E00070777,86,65
E00070850,128,54
E00070851,141,77
E00070852,128,63
E00070853,183,78
E00070854,98,74
E00070855,124,64
E00070856,110,64
E00070857,173,133
E00070858,134,79
E00070859,119,74
E00070860,121,93
E00070943,55,43
E00070944,157,114
E00070945,81,40
E00070946,80,61
E00070947,61,33
E00070949,151,122
E00070950,121,62
E00070951,107,62
E00070952,69,54
E00070953,55,44
E00070954,76,41
E00070955,185,105
E00070956,118,95
E00070969,174,129
E00070970,105,78
E00070971,113,85
E00070972,124,91
E00070973,100,60
E00070974,122,96
E00070975,127,83
E00070976,145,82
E00070977,63,51
E00070978,95,75
E00070979,114,75
E00071209,93,65
E00071210,60,39
E00071211,81,43
E00071214,114,65
E00071215,60,28
E00071219,46,23
E00147654,214,131
E00147655,129,113
E00147656,140,93
E00147657,74,44
E00147704,128,109
E00147705,176,92
E00147706,165,133
E00147707,93,71
E00147708,98,78
E00147709,88,72
E00147710,94,75
E00147711,140,116
E00147712,58,42
E00147716,122,104
E00147717,118,78
E00147718,141,92
E00147719,177,111
E00147755,216,159
E00147756,146,110
E00147757,121,76
E00147758,128,53
E00147759,146,116
E00147760,117,44
E00147761,135,68
E00147762,138,47
E00147769,135,109
E00147770,121,97
E00147772,170,111
E00168506,163,133
E00168508,111,82
E00168511,109,95
E00168513,129,76
E00168533,133,86
E00168538,130,114
W00002276,159,97
W00002277,160,123
W00002278,115,89
W00002279,170,138
W00002294,185,149
W00002295,127,112
W00002296,122,76
W00002297,140,82
W00002298,121,88
W00002299,143,70
W00002300,149,64
W00002301,154,109
W00002302,162,133
W00002335,188,157
W00002336,163,149
W00002337,161,120
W00002338,96,36
W00002359,163,139
W00002360,177,126
W00002362,138,111
W00002364,215,171
W00002377,111,87
W00002378,125,46
W00002379,144,81
W00002380,134,76
W00002381,141,103
W00002382,129,81
W00002383,155,74
W00002387,168,140
W00002390,127,75
W00002391,130,62
W00002392,134,92
W00002393,140,106
W00002394,105,42
W00002395,102,51
W00002396,108,86
W00002397,133,118
W00002398,161,104
W00002399,143,108
W00002400,109,78
W00002401,69,62
W00002402,133,111
W00002403,112,93
W00002404,203,153
W00002405,80,57
W00002406,165,146
W00002407,144,99
W00002408,174,130
W00002413,127,103
W00002417,133,27
W00002418,115,60
W00002419,122,27
W00002420,173,91
W00002421,128,48
W00002422,140,58
W00002423,232,187
W00002424,118,107
W00002425,125,38
W00002426,150,121
W00002427,136,92
W00002429,135,126
W00002430,97,30
W00002431,157,120
W00002432,134,28
W00002433,117,72
W00002447,106,86
W00002448,124,102
W00002449,91,82
W00002450,134,102
W00002451,64,28
W00002471,125,103
W00002472,100,80
W00002473,160,124
W00002474,149,118
W00002512,143,120
W00002513,134,96
W00002514,117,106
W00002515,117,73
W00002540,96,86
W00002541,157,141
W00002542,122,100
W00002543,131,118
W00002544,115,92
W00002583,178,147
W00002584,87,70
W00002585,103,81
W00002586,110,87
W00002587,100,61
W00002588,100,82
W00002589,135,102
W00002590,155,136
W00002591,125,82
W00002592,119,23
W00002593,151,111
W00002594,130,62
W00002595,106,49
W00002596,176,158
W00002597,144,127
W00002599,182,98
W00002600,144,52
W00002601,137,113
W00002602,129,53
W00002603,153,78
W00002604,133,112
W00009779,138,77
W00009780,76,68
W00009781,157,151
