areacd,total,value
E02002805,2575,2257
E02002809,2830,1947
E02002827,2550,1495
E02002828,2804,2233
E02002829,4340,1752
E02002830,3909,1616
E02002831,2340,1685
E02002832,2803,1458
E02002833,2609,1379
E02002834,3975,2783
E02002835,4369,2840
E02002836,3131,1611
E02002837,2624,1032
E02002838,3093,1094
E02002839,2911,1874
E02002842,3418,1205
E02002843,3843,1634
E02002844,3775,786
E02002845,3933,1805
E02002846,3028,2422
E02002847,2854,1982
E02002848,3344,1353
E02002849,5256,1610
E02002851,2861,2398
E02002852,2584,638
E02002853,4029,2338
E02002854,3222,1354
E02002855,2786,1531
E02002856,5066,2536
E02002857,2925,1489
E02002858,2928,2353
E02002860,3350,2343
E02002861,2775,913
E02002862,3547,1616
E02002863,2676,1688
E02002864,2519,1829
E02002865,3390,2355
E02002866,3088,2334
E02002867,3329,2350
E02002868,2458,1932
E02002869,3297,1396
E02002871,3469,2255
E02002872,3816,1736
E02002873,3903,1813
E02002874,3052,1846
E02002875,3627,1676
E02002876,3471,2023
E02002877,3650,2209
E02002878,3258,1066
E02002879,3936,2153
E02002880,3296,1348
E02002881,2669,1153
E02002882,3784,1788
E02002883,3537,1561
E02002884,2323,902
E02002885,3107,763
E02002886,3438,2079
E02002887,2832,1315
E02002888,3064,1036
E02002889,3140,316
E02002890,4727,646
E02002891,3376,2284
E02002892,2565,1382
E02002893,4388,839
E02002894,2689,2072
E02002895,3279,1017
E02002896,4372,1316
E02002897,3406,2627
E02002898,3738,735
E02002899,2172,945
E02002901,2540,1910
E02002902,3488,2034
E02002903,2859,1446
E02002904,2633,1667
E02003237,2600,2133
E02003238,2466,1613
E02003239,3275,2776
E02003240,2480,1521
E02003241,2567,1814
E02003242,3584,2651
E02003243,4071,1574
E02003244,3685,1776
E02003245,2967,1168
E02003246,3094,1545
E02003247,3272,1782
E02003248,3284,2064
E02003249,4368,2129
E02003250,3835,1549
E02003251,2852,2409
E02003252,4163,2328
E02003253,3841,2059
E02003254,3732,2908
E02003255,3777,2722
E02003257,3532,1544
E02003747,4861,3511
E02003749,2509,2024
E02003753,4448,3292
E02003754,2381,1768
E02004029,2845,1802
E02004031,3218,1524
E02004032,3643,3051
E02004033,3828,2882
E02004036,4267,2934
E02004040,3658,2907
E02004041,2938,2322
E02004045,3899,2992
E02004046,2738,1866
E02004047,2507,1320
E02004048,2919,1792
E02004049,3478,2509
E02004050,2969,1689
E02004051,3831,2331
E02004052,3382,2453
E02004053,3347,2159
E02004054,3731,2852
E02004056,3228,1582
E02004057,3398,2087
E02004059,3232,2408
E02004060,3190,2102
E02004078,3159,1621
E02004080,4284,2725
E02004082,2550,2316
E02004083,3310,2501
E02004084,2667,1733
E02004085,3726,2769
E02004086,3175,2445
E02004087,3414,2306
E02004088,3124,2748
E02004089,3259,1773
E02004090,2733,2038
E02004091,3905,3169
E02004092,4194,2931
E02004105,3845,2747
E02004111,2414,1857
E02004113,4027,1881
E02004115,3978,2947
E02004117,3170,2078
E02004121,2800,2411
E02005334,2161,1957
E02005335,2824,2372
E02005336,2903,2115
E02005337,3961,3196
E02005338,4167,3179
E02005339,3502,2926
E02005340,3553,2770
E02005341,2753,2158
E02005342,2802,2247
E02005343,2797,2368
E02005344,3146,2508
E02005345,2600,1963
E02005346,4925,2083
E02005347,3449,1257
E02005348,2540,1837
E02005349,2980,2315
E02005350,2813,2098
E02005351,2328,1285
E02005352,2421,2041
E02005353,3824,2232
E02005354,3542,3186
E02005355,2766,2163
E02005356,2873,2227
E02005357,3036,2325
E02005358,4281,3295
E02005359,2390,2053
E02005360,2546,2108
E02005361,2778,1985
E02005362,2627,2078
E02005363,2944,2536
E02005364,2098,1756
E02005365,3944,3003
E02005366,2811,2135
E02005368,2581,1932
E02005369,4128,3227
E02005370,3422,2906
E02005371,3970,3235
E02005372,3749,3131
E02005377,3568,2891
E02005378,2183,1876
E02005379,2532,2055
E02005380,3562,2733
E02005381,3378,2734
E02005382,4390,3029
E02005383,3908,2826
E02005385,2525,2252
E02005386,3870,2466
E02005387,3858,2894
E02005388,2564,1767
E02005389,2619,1812
E02005390,3774,3304
E02005391,4087,3034
E02005392,3815,3163
E02005393,3001,2280
E02005394,3961,2351
E02005395,3837,2723
E02005396,2789,1947
E02005397,3576,2585
E02005398,2598,1862
E02005400,2438,1879
E02005403,2966,2344
E02005405,2828,1574
E02005406,3125,1982
E02005407,3481,2828
E02005409,4302,3250
E02005412,3310,2605
E02005414,3245,2142
E02005415,3256,2301
E02005416,3613,3248
E02005418,4119,1624
E02005419,3591,1689
E02005420,3623,2106
E02005422,2569,1900
E02005423,4106,2557
E02005430,3059,2337
E02005434,3291,2199
E02005439,4599,3168
E02005441,3578,2820
E02005442,2710,1082
E02005443,3177,1926
E02005444,5257,3157
E02005445,4806,1892
E02005446,2840,1012
E02005447,3202,1194
E02005448,3126,1566
E02005449,2891,1931
E02005450,3708,3056
