areacd,total,value
E01007753,670,479
E01008019,735,496
E01008023,924,767
E01008024,755,555
E01008025,860,610
E01008027,699,405
E01013592,635,531
E01013593,591,538
E01013594,630,570
E01013597,650,363
E01013598,632,408
E01013599,618,575
E01013810,617,211
E01013811,588,80
E01013812,570,123
E01013813,758,36
E01013814,841,106
E01013815,627,76
E01013816,914,98
E01013817,642,192
E01013818,579,143
E01013819,735,291
E01013820,669,241
E01013821,627,248
E01013822,641,196
E01013823,666,322
E01013824,599,246
E01013825,690,330
E01013826,706,205
E01013827,608,287
E01013828,790,433
E01013829,797,407
E01013830,696,479
E01013831,672,538
E01013832,745,320
E01013833,561,279
E01013834,642,269
E01013835,715,311
E01013836,872,376
E01013837,736,545
E01013838,664,506
E01013839,862,269
E01013840,982,592
E01013841,692,241
E01013842,648,181
E01013843,663,229
E01013844,621,196
E01013845,606,273
E01013846,684,168
E01013847,433,204
E01013849,693,283
E01013850,715,334
E01013851,786,225
E01013852,763,379
E01013853,653,427
E01013854,639,326
E01013855,642,216
E01013856,638,358
E01013858,592,353
E01013859,732,351
E01013860,713,351
E01013861,722,221
E01013862,640,232
E01013863,620,446
E01013864,710,196
E01013865,752,403
E01013866,609,305
E01013867,598,249
E01013868,627,219
E01013870,1026,268
E01013871,858,251
E01013872,821,306
E01013873,619,287
E01013874,684,370
E01013875,521,460
E01013876,757,256
E01013877,680,166
E01013878,538,218
E01013879,573,211
E01013880,678,281
E01013881,649,276
E01013882,628,343
E01013883,681,357
E01013884,639,279
E01013885,769,285
E01013886,660,386
E01013887,637,572
E01013888,696,473
E01013889,721,540
E01013890,661,501
E01013891,731,355
E01013892,600,539
E01013893,583,244
E01013894,638,577
E01013895,636,581
E01013896,588,249
E01013898,436,244
E01013901,639,520
E01013902,677,560
E01013903,491,370
E01013913,688,540
E01013914,627,535
E01013915,656,495
E01013916,622,310
E01013917,783,404
E01013918,781,313
E01013919,836,312
E01013920,1219,208
E01013921,882,214
E01013924,723,23
E01013926,633,142
E01013928,548,110
E01013929,751,524
E01013930,731,429
E01013931,622,505
E01013932,658,474
E01013933,780,304
E01013934,647,367
E01013935,744,548
E01013936,1057,584
E01013937,748,438
E01013938,704,430
E01013939,769,494
E01013940,753,202
E01013941,827,365
E01013942,958,281
E01013943,812,223
E01013944,651,375
E01013945,610,106
E01013947,759,126
E01013948,754,52
E01013953,513,86
E01013954,594,241
E01013957,654,269
E01013958,838,179
E01013959,841,246
E01013960,770,165
E01013961,853,125
E01013962,859,384
E01013963,718,384
E01013964,671,423
E01013965,617,379
E01013966,568,335
E01013967,478,325
E01013968,669,422
E01013969,798,423
E01013970,670,438
E01013971,769,378
E01013972,693,332
E01013973,401,86
E01013974,667,360
E01013975,425,269
E01013976,679,230
E01013977,766,589
E01013978,669,435
E01013979,601,500
E01013980,666,580
E01013981,653,548
E01013982,625,550
E01013983,733,282
E01013984,643,600
E01013985,739,615
E01019400,669,443
E01019401,771,397
E01019402,646,462
E01019403,675,311
E01019404,759,500
E01019420,601,414
E01019421,818,630
E01019422,653,579
E01019431,600,437
E01019432,847,627
E01019433,769,628
E01019434,540,431
E01019435,662,521
E01019436,558,438
E01019437,610,340
E01019438,667,498
E01019439,516,456
E01019440,662,476
E01019441,672,340
E01019442,649,500
E01019443,713,574
E01019444,594,184
E01019445,640,467
E01019451,830,625
E01019452,733,332
E01019453,808,469
E01019456,763,554
E01019457,548,471
E01019458,712,464
E01019459,598,337
E01019464,792,719
E01019465,525,357
E01019468,650,413
E01019469,657,328
E01019470,707,552
