areacd,total,value
W00006029,129,118
W00006030,114,103
W00006031,135,117
W00006032,151,142
W00006033,110,75
W00006034,109,61
W00006035,126,107
W00006036,118,94
W00006037,148,69
W00006038,122,88
W00006039,116,76
W00006046,101,84
W00006047,113,56
W00006048,125,77
W00006049,124,110
W00006142,122,97
W00006143,128,115
W00006144,144,115
W00006145,153,119
W00006148,124,104
W00006149,138,112
W00006220,140,53
W00006221,132,62
W00006222,109,77
W00006223,125,105
W00006224,115,57
W00006225,112,80
W00006226,146,73
W00006227,128,67
W00006229,118,38
W00006721,130,117
W00006725,164,146
W00006726,129,116
W00006756,138,108
W00006757,124,78
W00006758,118,78
W00006759,119,98
W00006760,142,125
W00006761,116,93
W00006762,128,120
W00006763,122,89
W00006764,132,65
W00006765,134,111
W00006766,114,43
W00006832,110,71
W00006833,99,77
W00006836,135,45
W00006838,139,86
W00006911,116,103
W00006912,128,111
W00006913,112,100
W00006914,112,102
W00006915,144,137
W00006916,131,85
W00006917,160,124
W00006918,134,78
W00006919,114,70
W00006920,134,103
W00006921,119,96
W00006922,126,95
W00006923,122,73
W00006924,132,112
W00006925,144,85
W00006926,115,97
W00006927,145,129
W00006928,146,137
W00006929,126,102
W00006930,88,18
W00006943,119,41
W00006944,125,104
W00006945,117,61
W00006946,118,69
W00006947,118,79
W00006948,130,84
W00006949,157,99
W00006950,117,56
W00006951,139,90
W00006952,124,68
W00006953,126,65
W00006954,121,67
W00006992,129,74
W00006993,186,138
W00006994,172,134
W00006995,159,140
W00006996,105,48
W00006997,123,55
W00006998,118,41
W00006999,117,81
W00007000,121,57
W00007001,115,54
W00007002,134,107
W00007003,137,97
W00007004,123,70
W00007005,120,82
W00007006,121,92
W00007007,128,115
W00007008,133,95
W00007009,126,98
W00007010,115,82
W00007011,130,96
W00007012,124,93
W00007013,129,107
W00007014,115,18
W00007015,153,113
W00007016,121,101
W00007017,119,36
W00007018,114,74
W00007019,131,40
W00007020,136,102
W00007055,171,161
W00007056,131,67
W00007057,134,118
W00007058,145,88
W00007059,129,38
W00007060,208,90
W00007061,128,103
W00007062,127,113
W00007063,125,107
W00007064,131,94
W00007065,117,91
W00007066,120,95
W00007067,174,157
W00007068,118,80
W00007069,132,118
W00007070,121,111
W00007071,124,104
W00007072,116,94
W00007073,129,120
W00007074,112,89
W00007075,145,98
W00007076,118,87
W00007077,120,84
W00007078,120,98
W00007079,123,104
W00007080,121,73
W00007081,120,110
W00007082,122,111
W00007083,141,93
W00007084,117,61
W00007085,120,80
W00007086,118,73
W00007087,128,73
W00007088,132,70
W00007089,126,73
W00007090,113,68
W00007091,140,52
W00007092,115,41
W00007110,125,113
W00007123,140,96
W00007128,123,105
W00007129,144,122
W00007130,137,119
W00007131,131,97
W00007132,128,100
W00007133,140,90
W00007134,147,114
W00007135,122,98
W00007136,126,72
W00007137,127,84
W00007138,140,109
W00007139,130,68
W00007140,154,61
W00007141,128,93
W00007142,113,42
W00007143,157,122
W00007144,118,80
W00007145,142,126
W00007146,125,55
W00007147,158,120
W00007148,140,100
W00007149,126,77
W00007150,120,59
W00007151,159,121
W00007152,186,159
W00007160,126,106
W00007168,172,144
W00007169,119,101
W00007170,152,141
W00007171,119,104
W00007172,123,92
W00007173,126,53
W00007174,132,97
W00007213,149,133
W00007214,187,131
W00007215,134,130
W00007216,128,108
W00007217,94,41
W00007218,116,106
W00007219,124,108
W00007220,79,67
W00007221,107,88
W00007222,104,93
W00007223,139,49
W00007224,130,126
W00007225,138,110
W00007226,121,91
W00007227,101,56
W00007228,127,91
W00007247,145,119
W00007248,146,86
W00007249,153,113
W00007250,143,89
W00007251,130,110
W00007252,137,94
W00007253,125,56
W00007254,152,93
W00007256,125,101
W00007257,92,8
W00007258,128,84
W00007259,158,131
W00007261,120,66
W00007262,105,58
W00007263,113,44
W00007264,138,100
W00007265,119,40
W00007266,147,117
W00007267,154,85
W00007268,135,67
W00007269,151,117
W00007270,172,53
W00007271,137,108
