areacd,total,value
E00069658,122,16
E00069659,102,19
E00069663,123,45
E00069664,120,14
E00069665,140,51
E00069666,129,29
E00069667,109,21
E00069668,123,24
E00069670,116,10
E00069671,122,18
E00069672,83,10
E00069673,147,23
E00069674,140,13
E00069676,111,15
E00069685,115,52
E00069686,122,27
E00069687,117,36
E00069688,143,23
E00069689,80,4
E00069690,102,37
E00069691,151,2
E00069692,114,23
E00069693,139,57
E00069694,129,22
E00069695,144,48
E00069696,129,66
E00069697,132,48
E00069698,137,90
E00069699,137,40
E00069700,152,39
E00069701,132,57
E00069702,143,44
E00069703,141,30
E00069704,149,73
E00069705,123,45
E00069706,141,47
E00069707,124,30
E00069708,173,64
E00069709,106,56
E00069710,139,27
E00069711,150,52
E00069712,132,59
E00069713,104,47
E00069714,146,36
E00069715,166,34
E00069716,133,45
E00069717,132,75
E00069718,118,47
E00069719,129,40
E00069720,122,39
E00069721,136,45
E00069722,129,30
E00069723,147,42
E00069724,120,47
E00069725,126,63
E00069726,137,54
E00069727,125,46
E00069728,110,17
E00069729,126,58
E00069730,108,30
E00069731,129,50
E00069732,129,67
E00069733,116,45
E00069734,140,57
E00069735,104,20
E00069736,120,44
E00069737,132,61
E00069738,122,54
E00069739,129,76
E00069740,122,40
E00069741,142,64
E00069742,103,47
E00069743,131,91
E00069744,181,57
E00069745,122,61
E00069746,175,125
E00069747,110,54
E00069748,122,70
E00069749,139,69
E00069750,121,52
E00069751,129,59
E00069752,112,60
E00069753,105,21
E00069754,140,41
E00069755,126,57
E00069756,143,57
E00069757,112,55
E00069758,110,87
E00069759,133,38
E00069760,137,107
E00069761,121,27
E00069762,136,73
E00069763,118,66
E00069764,135,127
E00069765,141,69
E00069766,138,98
E00069767,115,92
E00069768,134,55
E00069769,124,95
E00069770,126,67
E00069771,140,108
E00069772,142,75
E00069773,131,73
E00069774,160,68
E00069775,134,98
E00069776,97,48
E00069777,120,103
E00069778,171,76
E00069779,127,42
E00069780,127,87
E00069781,133,109
E00069782,130,58
E00069783,160,41
E00069784,164,90
E00069785,148,82
E00069786,138,84
E00069787,127,96
E00069788,148,31
E00069789,162,70
E00069790,142,47
E00069791,144,81
E00069792,137,67
E00069793,149,88
E00069794,112,21
E00069795,119,26
E00069797,120,96
E00069798,124,74
E00069799,188,148
E00069800,146,67
E00069801,129,31
E00069802,146,29
E00069803,83,56
E00069804,130,36
E00069805,117,55
E00069806,104,17
E00069807,139,61
E00069808,127,54
E00069809,128,38
E00069810,83,25
E00069811,107,28
E00069812,143,20
E00069813,117,73
E00069814,163,74
E00069815,105,42
E00069816,96,61
E00069817,143,23
E00069818,83,12
E00069819,159,56
E00069820,119,42
E00069821,108,43
E00069822,144,54
E00069823,123,49
E00069824,131,24
E00069825,161,42
E00069826,132,61
E00069827,115,40
E00069828,105,1
E00069829,107,66
E00069830,199,47
E00069831,102,6
E00069832,126,108
E00069833,117,99
E00069834,100,81
E00069835,109,82
E00069836,133,115
E00069837,129,113
E00069838,187,109
E00069839,165,83
E00069840,178,59
E00069841,137,53
E00069843,95,36
E00069844,105,25
E00069845,124,56
E00069846,139,72
E00069847,134,37
E00069848,126,30
E00069849,104,51
E00069850,126,52
E00069851,86,29
E00069852,168,81
E00069853,135,81
E00069854,170,35
E00069855,122,58
E00069856,109,60
E00069858,133,88
E00069859,107,40
E00069860,149,57
E00069861,95,16
E00069862,101,68
E00069863,114,72
E00069864,102,39
E00069865,109,41
E00069866,116,72
E00069867,102,49
E00069870,88,34
E00069871,133,50
E00069872,85,44
E00069873,96,56
E00069874,119,11
E00069875,177,20
E00069876,137,50
E00069877,126,41
E00069878,109,45
E00069879,124,31
E00069880,147,55
E00069881,119,51
E00069882,130,80
E00069883,122,52
E00069884,152,46
E00069885,115,50
E00069886,118,74
E00069887,123,62
E00069888,90,5
E00069889,96,76
E00069890,142,76
E00069891,136,65
E00069892,125,25
E00069893,100,2
E00069894,179,123
E00069895,126,78
E00069896,144,49
E00069897,149,105
E00069898,84,23
E00069899,145,80
E00069900,149,75
E00069901,115,81
E00069902,101,30
E00069903,86,45
E00069904,119,82
E00069905,121,84
E00069906,131,64
E00069907,127,53
E00069908,173,103
E00069910,136,53
E00069912,182,101
E00069917,134,7
E00069920,92,25
E00069932,145,12
E00069934,120,83
E00069936,132,43
E00069937,131,59
E00069938,132,38
E00069939,125,105
E00069940,131,43
E00069941,99,35
E00069942,113,44
E00069943,112,73
E00069944,109,53
E00069945,97,24
E00069946,143,54
E00069947,132,32
E00069948,103,72
E00069949,134,50
E00069950,115,37
E00069951,112,47
E00069952,123,15
E00069953,130,32
E00069954,137,26
E00069956,137,27
E00069957,139,32
E00069958,122,14
E00069959,136,26
E00069960,148,46
E00070002,151,54
E00070003,114,65
E00070004,157,20
E00070005,146,53
E00070006,129,116
E00070007,129,115
E00070008,123,109
E00070009,112,46
E00070010,143,77
E00070011,155,54
E00070012,140,63
E00070014,158,47
E00070015,124,54
E00070016,130,65
E00070017,140,46
E00070018,127,65
E00070019,125,58
E00070020,126,84
E00070021,135,123
E00070022,140,119
