areacd,total,value
E00071738,135,41
E00071739,145,15
E00071740,120,27
E00071741,127,48
E00071742,154,21
E00071743,129,53
E00071744,131,30
E00071745,126,116
E00071746,167,158
E00071747,133,106
E00071748,136,90
E00071749,140,124
E00071750,120,87
E00071751,126,101
E00071752,126,115
E00071753,120,113
E00071754,116,104
E00071755,123,120
E00071756,135,39
E00071757,105,52
E00071758,119,50
E00071759,115,82
E00071760,106,26
E00071761,120,38
E00071762,129,111
E00071763,122,49
E00071764,111,41
E00071765,116,50
E00071766,116,86
E00071767,113,7
E00071768,121,28
E00071769,134,111
E00071770,154,120
E00071771,145,31
E00071772,102,23
E00071773,105,101
E00071774,95,93
E00071775,121,113
E00071776,118,107
E00071780,110,89
E00071781,158,48
E00071782,147,32
E00071783,142,42
E00071784,141,54
E00071788,123,120
E00071789,116,107
E00071790,109,94
E00071791,114,64
E00071792,114,73
E00071793,109,96
E00071794,101,97
E00071795,138,125
E00071796,107,52
E00071797,116,47
E00071798,118,36
E00071799,113,48
E00071800,102,78
E00071801,116,87
E00071802,127,50
E00071803,128,41
E00071804,142,42
E00071805,132,35
E00071806,145,31
E00071807,133,34
E00071809,123,57
E00071810,147,53
E00071820,73,45
E00071821,134,52
E00071824,115,90
E00071825,120,75
E00071826,125,69
E00071831,110,72
E00071832,116,63
E00071833,117,113
E00071835,111,32
E00071837,114,107
E00071838,115,103
E00071839,113,109
E00071847,108,83
E00071848,113,96
E00071849,201,24
E00071850,85,62
E00071851,106,79
E00071852,165,61
E00071853,102,38
E00071855,128,82
E00071856,114,110
E00071858,211,73
E00071900,148,79
E00071901,136,119
E00071902,120,59
E00071903,134,99
E00071904,126,85
E00071905,146,66
E00071906,115,25
E00071907,108,49
E00071908,137,75
E00071909,133,104
E00071910,150,91
E00071911,130,41
E00071912,122,89
E00071913,120,97
E00071914,108,34
E00071915,133,121
E00071916,122,56
E00071917,172,154
E00071918,143,72
E00071919,105,32
E00071920,135,86
E00071921,139,108
E00071922,147,57
E00071923,139,94
E00071924,131,85
E00071925,123,64
E00071926,120,59
E00071927,127,65
E00071928,117,84
E00071929,88,21
E00071930,139,74
E00071931,123,108
E00071932,140,81
E00071933,127,90
E00071934,126,59
E00071935,140,65
E00071936,129,72
E00071937,119,66
E00071938,100,90
E00071939,108,39
E00071940,124,117
E00071941,110,14
E00071942,126,51
E00071943,150,131
E00071944,142,66
E00071946,145,50
E00071947,118,49
E00071948,112,43
E00071949,125,50
E00071950,135,36
E00071952,126,42
E00071953,67,19
E00071954,103,22
E00071955,91,54
E00071956,117,54
E00071957,129,120
E00071958,186,52
E00071959,119,42
E00071960,117,39
E00071961,129,116
E00071962,129,84
E00071963,125,41
E00071964,83,58
E00071965,118,78
E00071966,153,71
E00071967,120,49
E00071968,132,107
E00071969,212,11
E00071970,106,32
E00071971,151,70
E00071972,132,70
E00071973,114,55
E00071974,137,72
E00071975,116,35
E00071976,151,56
E00071977,120,53
E00071978,131,39
E00071979,145,64
E00071980,110,86
E00071981,135,103
E00071984,144,39
E00071985,115,103
E00071986,159,102
E00071987,109,55
E00071988,149,146
E00071989,126,47
E00071990,121,114
E00071991,118,65
E00071992,143,135
E00071993,126,39
E00071994,137,49
E00071995,132,92
E00071996,123,115
E00071997,113,88
E00071998,113,66
E00071999,126,46
E00072000,118,107
E00072001,129,109
E00072002,125,99
E00072003,115,46
E00072004,135,37
E00072005,94,38
E00072006,132,112
E00072007,120,53
E00072008,124,106
E00072009,119,28
E00072010,92,10
E00072011,114,65
E00072012,124,97
E00072013,135,24
E00072014,125,30
E00072015,136,19
E00072016,138,127
E00072017,116,87
E00072018,102,91
E00072019,116,78
E00072021,123,114
E00072022,184,171
E00072023,145,37
E00072024,98,92
E00072025,137,120
E00072027,137,55
E00072028,121,106
E00072029,130,101
E00072030,155,57
E00072031,115,61
E00072033,124,117
E00072034,117,92
E00072035,196,175
E00072036,116,110
E00072037,124,59
E00072038,115,108
E00072039,137,18
E00072040,140,45
E00072041,160,85
E00072042,126,97
E00072043,131,125
E00072044,165,112
E00072045,126,91
E00072046,139,82
E00072047,129,35
E00072048,149,120
E00072049,121,71
E00072050,117,101
E00072051,121,101
E00072052,115,45
E00072053,138,114
E00072054,126,109
E00072055,89,76
E00072056,138,58
E00072057,114,108
E00072058,90,72
E00072059,212,179
E00072060,108,72
E00072061,114,107
E00072062,103,96
E00072108,90,60
E00072109,149,46
E00072115,89,5
E00072124,136,47
E00072125,135,41
E00072126,137,68
E00072127,155,73
E00072128,152,56
E00072129,125,37
E00072130,140,82
E00072131,135,51
E00072132,160,54
E00072133,139,67
E00072134,154,46
E00072135,93,5
E00072136,141,54
E00072137,116,31
E00072151,93,70
E00072152,113,84
E00072153,119,68
E00072154,135,87
E00072157,122,72
E00072314,177,10
E00072315,135,127
E00072316,181,168
E00072317,151,142
E00072318,113,66
E00072319,131,51
E00072320,112,57
E00072321,119,67
E00072322,137,64
E00072323,113,100
E00072324,100,82
E00072325,119,109
E00072326,80,77
E00072327,117,108
E00072328,109,101
E00072329,119,69
E00072330,111,74
E00072331,136,124
E00072332,124,81
