areacd,total,value
E00052690,114,84
E00052691,137,49
E00052692,184,112
E00052693,133,121
E00052694,132,99
E00052695,127,57
E00052696,147,80
E00052697,188,63
E00052698,130,39
E00052699,148,27
E00052700,152,52
E00052701,134,90
E00052702,106,73
E00052703,130,91
E00052704,138,115
E00052705,135,103
E00052706,117,97
E00052707,196,123
E00052708,126,60
E00052709,156,29
E00052710,131,14
E00052711,122,117
E00052712,116,109
E00052713,98,88
E00052714,122,115
E00052715,128,110
E00052716,122,118
E00052717,118,101
E00052718,139,131
E00052719,116,108
E00052720,145,109
E00052721,135,65
E00052722,124,75
E00052723,110,65
E00052724,130,119
E00052725,130,47
E00052873,141,67
E00052894,141,42
E00052896,164,73
E00052898,205,67
E00052901,129,46
E00052902,142,29
E00052904,167,35
E00052906,130,0
E00052911,125,40
E00052914,115,73
E00052915,127,41
E00052916,131,59
E00052918,110,92
E00052919,133,16
E00052920,127,14
E00052921,124,12
E00052922,136,12
E00052923,126,3
E00052924,124,19
E00052925,128,14
E00052926,119,35
E00052929,129,45
E00052930,148,51
E00052931,124,41
E00052932,125,42
E00052933,126,47
E00052934,121,19
E00052935,133,25
E00052937,127,43
E00052938,130,23
E00052940,119,71
E00052941,122,37
E00052943,129,23
E00052944,125,82
E00052945,135,20
E00052946,127,95
E00052989,128,116
E00052990,133,49
E00052991,140,105
E00052992,132,75
E00052993,113,102
E00052994,123,79
E00052995,172,27
E00052996,132,114
E00052997,144,99
E00052998,114,64
E00052999,125,91
E00053000,117,73
E00053001,127,108
E00053002,132,116
E00053003,128,116
E00053004,101,32
E00053005,106,41
E00053006,115,87
E00053007,115,39
E00053008,129,102
E00053009,127,81
E00053010,121,32
E00053011,135,116
E00053012,112,69
E00053013,120,103
E00053014,117,96
E00053015,131,114
E00053016,126,63
E00053017,127,73
E00053018,129,112
E00053019,104,58
E00053020,121,90
E00053021,141,4
E00053022,113,69
E00053023,119,113
E00053024,109,82
E00053025,129,70
E00053026,116,52
E00053027,135,119
E00053028,176,32
E00053029,118,89
E00053030,123,70
E00053032,145,54
E00053033,117,54
E00053034,102,18
E00053051,140,73
E00053052,128,37
E00053053,142,80
E00053054,102,82
E00053055,150,60
E00053056,124,47
E00053057,109,38
E00053058,119,73
E00053059,150,83
E00053060,157,73
E00053061,123,58
E00053115,128,66
E00053116,122,46
E00053117,115,79
E00053118,113,29
E00053119,131,49
E00053120,121,23
E00053121,127,71
E00053122,138,75
E00053123,120,56
E00053124,149,42
E00053125,114,74
E00053126,162,25
E00053127,146,23
E00053128,107,74
E00053129,111,68
E00053130,158,66
E00053131,135,51
E00053132,109,71
E00053133,129,80
E00053134,124,13
E00053135,121,53
E00053136,129,61
E00053137,202,32
E00053138,105,39
E00053139,134,51
E00053140,116,10
E00053141,129,25
E00053142,148,23
E00053144,130,5
E00053145,139,19
E00053146,135,50
E00053147,136,43
E00053148,133,36
E00053149,198,29
E00053155,127,44
E00053156,125,49
E00053157,138,43
E00053158,117,50
E00053200,133,126
E00053201,139,129
E00053202,126,118
E00053203,105,83
E00053204,103,42
E00053205,128,59
E00053206,116,104
E00053207,121,113
E00053208,129,123
E00053209,122,113
E00053210,113,81
E00053211,119,104
E00053212,132,114
E00053213,141,109
E00053214,127,101
