areacd,total,value
E00041473,140,111
E00041474,129,95
E00041475,129,93
E00041476,103,92
E00041479,93,30
E00041480,151,53
E00041481,135,117
E00041482,131,85
E00041484,150,61
E00041491,124,71
E00041495,139,112
E00041498,182,136
E00041499,144,21
E00041500,126,64
E00041501,142,72
E00041502,128,89
E00041503,111,68
E00041505,120,64
E00041536,136,114
E00041537,130,107
E00041538,124,111
E00041539,111,91
E00041540,108,99
E00041541,105,101
E00041542,142,56
E00041543,98,94
E00041544,46,42
E00041545,91,85
E00041546,113,96
E00041547,124,103
E00041548,117,100
E00041549,159,80
E00041550,121,103
E00041551,140,115
E00041552,152,106
E00041553,140,110
E00041554,112,89
E00041555,127,71
E00041556,88,55
E00041557,157,123
E00041558,120,82
E00041559,108,103
E00041560,93,33
E00041561,121,104
E00041563,117,100
E00041564,116,64
E00041565,109,79
E00041566,116,58
E00041567,128,91
E00041568,122,83
E00041569,130,98
E00041570,132,112
E00041813,117,70
E00041815,130,119
E00041817,127,116
E00041820,108,36
E00041821,111,93
E00041823,129,73
E00041824,123,87
E00041825,122,90
E00041826,128,107
E00041829,120,108
E00041831,121,116
E00041832,128,60
E00041836,143,62
E00041838,125,118
E00041840,128,111
E00041844,125,121
E00041981,86,69
E00104652,119,61
E00104653,127,109
E00104654,129,120
E00104655,124,70
E00104656,155,134
E00104657,131,123
E00104658,117,55
E00104659,154,110
E00104660,132,121
E00104661,146,129
E00104662,128,122
E00104663,134,128
E00104664,137,118
E00104665,183,118
E00104666,138,99
E00104667,128,90
E00104668,138,54
E00104669,124,87
E00104670,128,118
E00104671,121,91
E00104672,126,111
E00104673,133,100
E00104674,126,66
E00104675,122,71
E00104676,141,106
E00104677,142,27
E00104678,144,138
E00104679,83,30
E00104680,135,82
E00104681,129,80
E00104682,140,118
E00104683,131,40
E00104705,125,74
E00104706,149,136
E00104707,152,131
E00104708,134,118
E00104709,122,105
E00104710,48,27
E00104721,146,88
E00104722,144,112
E00104723,141,102
E00104725,192,160
E00104726,212,189
E00104727,150,98
E00104729,209,136
E00104730,231,134
E00104731,168,93
E00104732,151,90
E00104733,146,43
E00104734,218,150
E00104735,177,123
E00104736,126,108
E00104737,120,95
E00104738,122,103
E00104739,102,84
E00104740,124,85
E00104741,134,107
E00104742,129,62
E00104743,69,41
E00104744,132,65
E00104745,122,47
E00104746,135,96
E00104748,125,65
E00104749,127,77
E00104750,135,56
E00104751,152,67
E00104752,135,81
E00104758,119,100
E00104775,128,75
E00104776,123,87
E00104777,122,115
E00104778,133,118
E00104779,208,138
E00104780,126,86
E00104781,183,97
E00104782,131,106
E00104785,119,69
E00104786,126,62
E00104787,136,75
E00104788,94,67
E00104789,128,118
E00104790,132,79
E00104791,135,81
E00104793,150,65
E00104794,126,103
E00104801,149,85
E00104802,128,103
E00104803,124,41
E00104804,138,121
E00104805,152,141
E00104806,119,109
E00104807,105,94
E00104808,108,74
E00104809,127,108
E00104810,119,114
E00104812,137,106
E00104813,138,130
E00104814,144,102
E00104815,145,109
E00104856,213,177
E00104864,130,75
E00104865,129,46
E00104866,128,90
E00104867,143,109
E00104868,158,134
E00104869,132,102
E00104870,152,142
E00104871,84,73
E00104872,153,102
E00104873,143,89
E00104874,141,92
E00104875,128,76
E00104876,116,35
E00104877,131,79
E00104878,128,94
E00104879,128,101
E00106030,75,57
E00106031,49,35
E00106037,135,98
E00139851,49,34
E00139852,119,94
E00139853,117,108
E00139854,122,111
E00139859,127,118
E00139860,141,117
E00139861,162,93
E00139866,125,64
E00139867,145,106
E00139868,157,118
E00139869,140,84
E00139872,128,86
E00139873,92,81
E00139901,140,67
E00139902,129,48
E00139903,177,74
E00139904,140,86
E00139907,130,85
E00139908,135,97
E00139909,134,103
E00139914,125,65
E00139915,125,57
E00139927,194,106
E00139928,129,50
E00139929,128,111
E00139930,127,111
E00139931,127,39
E00139932,150,134
E00139933,119,19
E00139934,178,145
E00139935,131,47
E00139936,171,78
E00139937,130,115
E00139938,112,62
E00139942,137,73
E00139943,125,102
E00139944,131,65
E00139945,135,128
E00139946,122,106
E00139947,128,42
E00139948,118,62
E00139949,150,132
E00139951,133,121
E00139952,125,113
E00139953,125,39
E00139954,117,76
E00139955,114,42
E00139956,236,155
E00139957,126,56
E00139958,194,116
E00139959,153,61
E00139960,102,39
E00139961,125,116
E00139962,118,39
E00139963,131,88
E00139964,128,123
E00139965,118,106
E00139966,141,74
E00139967,137,102
E00139968,113,77
E00139969,127,89
E00139970,130,58
E00139971,124,85
E00139972,123,104
E00139973,114,103
E00139974,118,96
E00139975,122,61
E00139976,131,108
E00139977,118,114
E00139978,121,107
E00139979,114,101
E00139983,203,144
E00139987,135,108
E00139988,131,107
E00139989,144,114
E00139990,62,10
E00139991,67,33
E00139992,102,90
E00139993,115,82
E00139994,122,83
E00139995,161,125
E00139996,126,94
E00139997,116,66
E00139998,121,84
E00139999,121,110
E00140000,136,124
E00140001,134,132
E00140002,113,91
E00140003,132,128
E00140004,115,109
E00140005,124,112
E00140006,125,106
E00140007,112,60
E00140029,115,106
E00140030,113,97
E00140035,113,100
E00140036,98,76
E00171775,101,56
E00171777,125,105
E00171808,127,66
E00171809,128,47
E00171811,150,99
E00171813,141,123
E00171817,125,113
E00171819,121,77
E00171820,135,113
E00171830,128,107
E00171833,122,98
E00171842,120,67
E00171844,135,124
E00171862,100,72
E00171865,170,112
E00171946,120,111
E00176347,102,71
E00176359,135,116
