areacd,total,value
E00139394,159,57
E00139395,112,19
E00139396,115,68
E00139397,136,51
E00139398,111,79
E00139399,126,57
E00139400,110,76
E00139401,120,113
E00139402,118,42
E00139403,138,70
E00139404,128,49
E00139405,120,31
E00139406,126,49
E00139407,126,80
E00139408,119,48
E00139409,130,38
E00139410,168,78
E00139411,97,86
E00139412,115,62
E00139413,122,47
E00139414,101,49
E00139415,135,83
E00139416,120,102
E00139417,128,62
E00139419,134,47
E00139420,115,47
E00139421,138,56
E00139422,164,39
E00139423,143,116
E00139424,146,64
E00139425,154,121
E00139427,60,34
E00139429,117,113
E00139430,130,117
E00139431,155,61
E00139432,111,36
E00139433,150,91
E00139434,119,26
E00139435,110,89
E00139436,122,38
E00139437,127,32
E00139438,121,95
E00139439,115,110
E00139440,112,91
E00139443,136,128
E00139445,132,125
E00139448,127,123
E00139450,121,115
E00139451,118,117
E00139453,135,133
E00139454,117,111
E00139457,122,112
E00139458,125,116
E00139460,139,125
E00139462,123,116
E00139464,132,120
E00139465,122,117
E00139468,130,75
E00139483,137,26
E00139488,139,45
E00139496,124,65
E00139509,134,101
E00139510,130,57
E00139511,131,45
E00139512,125,65
E00139513,146,47
E00139514,113,73
E00139515,132,96
E00139516,135,125
E00139517,132,66
E00139518,125,91
E00139519,123,56
E00139520,139,10
E00139521,128,32
E00139522,116,43
E00139523,138,26
E00139524,115,8
E00139525,136,31
E00139526,131,116
E00139527,120,77
E00139528,86,74
E00139529,138,112
E00139530,129,70
E00139534,171,135
E00139535,121,56
E00139536,142,133
E00139537,137,129
E00139538,116,37
E00139539,134,128
E00139540,129,108
E00139541,130,55
E00139542,197,165
E00139554,127,58
E00139555,127,60
E00139556,119,66
E00139557,111,99
E00139558,124,59
E00139559,120,12
E00139560,120,65
E00139561,148,91
E00139562,129,62
E00139563,123,71
E00139564,121,81
E00139565,121,47
E00139566,137,58
E00139567,112,61
E00139568,128,111
E00139569,145,130
E00139571,136,115
E00139572,145,42
E00139573,124,106
E00139574,131,48
E00139575,151,89
E00139576,165,124
E00139577,147,46
E00139578,119,104
E00139579,133,53
E00139580,129,35
E00139581,135,48
E00139582,123,23
E00139583,125,93
E00139584,162,84
E00139585,123,24
E00139586,125,42
E00139587,128,116
E00139588,131,108
E00139589,133,119
E00139590,169,74
E00139591,121,112
E00139592,136,77
E00139593,108,36
E00139594,147,88
E00139595,122,13
E00139596,121,25
E00139597,140,79
E00139598,128,84
E00139599,121,58
E00139600,133,32
E00139601,126,54
E00139602,132,63
E00139603,131,76
E00139604,125,53
E00139605,128,54
E00139606,132,24
E00139607,121,75
E00139608,129,114
E00139609,109,20
E00139610,118,106
E00139611,117,39
E00139612,107,47
E00139639,138,134
E00139640,133,121
E00139641,135,131
E00139642,120,114
E00139643,120,112
E00139644,114,101
E00139645,126,115
E00139646,118,107
E00139647,127,121
E00139648,129,115
E00139649,121,105
E00139650,127,117
E00139651,120,114
E00139652,126,114
E00139653,110,100
E00139655,123,117
E00139656,128,125
E00139657,199,182
E00139658,117,109
E00139659,140,107
E00139660,138,68
E00139661,131,113
E00139662,146,111
E00139663,124,89
E00139664,116,80
E00139665,129,106
E00139666,120,24
E00139667,140,82
E00139668,145,128
E00139670,146,72
E00140051,137,81
E00140052,128,75
E00140054,126,97
E00140055,112,101
E00140056,127,67
E00140057,129,56
E00140058,138,50
E00140059,130,29
E00140060,119,46
E00140061,118,51
E00140063,129,67
E00140064,125,82
E00140092,140,121
E00140101,122,65
E00140105,126,46
E00140108,126,32
E00140109,104,74
E00140110,113,41
E00140111,118,69
E00140124,117,95
E00140125,109,7
E00140126,175,59
E00140127,119,30
E00140128,113,107
E00140129,123,66
E00140130,130,124
E00140131,122,83
E00140132,109,96
E00140133,126,13
E00140134,128,10
E00140135,122,63
E00140136,120,92
E00140137,126,92
E00140150,125,105
E00140151,114,109
E00140152,133,71
E00140153,113,109
E00140154,127,114
E00140155,130,116
E00140156,121,118
E00140157,119,43
E00140158,119,70
E00140159,135,83
E00140161,128,104
E00140162,121,62
E00140163,127,102
E00140164,117,109
E00140203,127,74
E00140206,126,64
E00140207,115,58
E00140208,121,71
E00140209,163,72
E00140211,142,40
E00140212,151,29
E00140213,153,67
E00140214,143,108
E00140215,152,88
E00140216,109,101
E00140217,136,121
E00140218,64,33
E00140221,118,106
E00140222,128,122
E00140223,136,26
E00140224,112,101
E00140225,115,30
E00140226,110,74
E00140227,134,77
E00140228,73,52
E00140229,112,62
E00140230,141,94
E00140231,155,72
E00140232,132,84
E00140233,96,90
E00140234,134,113
E00140235,123,72
E00140236,123,31
E00140237,138,69
E00140238,124,64
E00140239,116,82
E00140240,129,102
E00140242,126,80
E00140243,167,123
E00140244,124,78
E00140245,74,59
E00176337,117,105
E00176338,181,169
E00176339,188,177
E00176340,126,73
E00176341,118,108
E00176342,120,110
E00176346,115,111
E00176350,43,41
E00176351,124,104
E00176352,125,115
E00176364,130,76
