areacd,total,value
E00154561,121,80
E00154562,201,162
E00154563,122,109
E00154564,125,107
E00154565,125,91
E00154566,123,73
E00154567,143,3
E00154568,116,77
E00154569,115,94
E00154570,126,116
E00154571,116,69
E00154572,135,106
E00154573,191,154
E00154574,113,94
E00154575,158,104
E00154576,127,83
E00154577,121,73
E00154578,121,66
E00154579,131,87
E00154580,111,91
E00154581,117,93
E00154582,119,101
E00154583,134,83
E00154584,124,92
E00154585,164,80
E00154586,145,74
E00154587,112,95
E00154588,118,87
E00154589,119,97
E00154590,111,31
E00154591,150,118
E00154592,128,88
E00154593,148,71
E00154594,125,89
E00154595,142,108
E00154596,147,97
E00154597,124,99
E00154598,157,60
E00154599,125,111
E00154600,102,81
E00154601,136,93
E00154602,122,78
E00154603,198,105
E00154604,108,25
E00154605,143,118
E00154606,121,96
E00154607,129,98
E00154608,116,109
E00154609,120,103
E00154610,132,87
E00154611,131,113
E00154612,122,106
E00154613,137,111
E00154614,126,97
E00154615,129,55
E00154616,156,56
E00154617,110,101
E00154618,125,86
E00154619,126,63
E00154620,130,93
E00154621,138,109
E00154622,109,87
E00154623,119,80
E00154624,121,104
E00154625,139,76
E00154626,132,112
E00154627,140,106
E00154628,128,81
E00154629,128,74
E00154630,142,103
E00154631,131,93
E00154632,136,74
E00154633,130,119
E00154634,169,3
E00154635,125,72
E00154636,108,90
E00154637,137,119
E00154638,127,121
E00154639,87,43
E00154640,115,90
E00154641,140,126
E00154642,116,83
E00154643,133,59
E00154644,121,100
E00154645,147,93
E00154646,126,109
E00154647,116,102
E00154648,148,132
E00154649,127,106
E00154650,138,114
E00154651,115,81
E00154652,135,116
E00154653,122,102
E00154654,112,2
E00154688,139,67
E00154690,120,110
E00154692,129,104
E00154693,121,100
E00154727,117,80
E00154731,150,122
E00154732,136,125
E00154733,135,77
E00154734,171,102
E00154735,129,113
E00154736,113,89
E00154737,156,115
E00154738,138,117
E00154749,127,102
E00154750,135,90
E00154751,129,110
E00154752,127,115
E00154753,116,64
E00154754,117,103
E00154755,116,102
E00154757,144,131
E00154759,152,115
E00154760,159,129
E00154761,129,94
E00154762,134,105
E00154763,169,134
E00154764,119,106
E00154765,150,68
E00154766,131,90
E00154767,120,104
E00154768,126,100
E00154769,123,91
E00154770,127,110
E00154771,126,108
E00154772,128,116
E00154773,136,117
E00154774,141,73
E00154775,125,96
E00154776,135,116
E00154777,119,106
E00154779,134,109
E00154780,130,111
E00154781,111,91
E00154782,128,92
E00154783,131,81
E00154784,112,102
E00154785,147,122
E00154786,115,101
E00154787,147,122
E00154788,119,104
E00154789,162,99
E00154790,124,93
E00154791,145,111
E00154792,162,113
E00154793,132,83
E00154794,141,103
E00154795,120,82
E00154796,134,107
E00154797,116,94
E00154798,111,55
E00154799,121,92
E00154800,142,100
E00154801,120,90
E00154802,175,102
E00154803,121,94
E00154804,153,113
E00154805,129,106
E00154806,120,94
E00154807,139,123
E00154827,126,35
E00154828,125,116
E00154829,125,90
E00154830,123,92
E00154831,131,119
E00154832,134,119
E00154833,145,77
E00154834,125,118
E00154835,127,96
E00154836,131,59
E00154837,139,61
E00154838,132,110
E00154839,125,76
E00154840,129,107
E00154841,157,118
E00154842,135,120
E00154843,125,108
E00154844,117,91
E00154845,130,105
E00154846,110,96
E00154847,119,101
E00154849,115,87
E00154850,123,76
E00154851,210,152
E00154852,143,55
E00154853,129,99
E00154854,128,111
E00154855,162,52
E00154856,127,118
E00154857,140,114
E00154858,126,121
E00154859,116,102
E00154860,115,64
E00154861,122,103
E00154862,125,67
E00154863,138,104
E00154864,123,69
E00154865,108,87
E00154866,122,17
E00154867,135,93
E00154868,131,105
E00154869,140,29
E00154870,112,50
E00154871,127,60
E00154872,140,52
E00154873,96,62
E00154874,129,53
E00154875,132,110
E00154876,141,99
E00154877,134,110
E00154878,83,39
E00154879,135,84
E00154880,101,91
E00154881,82,53
E00154882,123,108
E00154883,120,113
E00154884,103,98
E00154885,125,106
E00154886,126,98
E00154887,131,101
E00154888,111,108
E00154889,128,101
E00154890,153,70
E00154891,127,64
E00154892,134,91
E00154893,120,62
E00154894,128,99
E00154895,153,121
E00154896,108,73
E00154897,125,117
E00154898,118,111
E00154899,121,107
E00154900,135,114
E00154901,123,105
E00154902,131,85
E00154904,142,131
E00154905,130,116
E00154906,128,120
E00154910,134,109
E00154911,116,105
E00154912,125,103
E00154914,120,68
E00154915,121,69
E00154916,160,92
E00154917,105,39
E00154918,119,39
E00154919,113,95
E00154920,141,66
E00154921,118,84
E00154922,130,76
E00154923,129,84
E00154924,153,121
E00154925,138,107
E00154926,129,117
E00154927,111,55
E00154928,127,100
E00154929,135,123
E00154930,148,96
E00154931,126,78
E00154932,120,72
E00154933,129,81
E00154934,165,119
E00154935,147,47
E00154936,127,113
E00154937,116,71
E00154938,136,93
E00154939,183,90
E00154940,138,114
E00154941,185,104
E00154942,118,70
E00154943,115,71
E00155268,128,111
E00155269,130,122
E00155360,164,122
E00155361,155,50
E00155362,105,77
E00155363,123,103
E00155364,160,113
E00155366,154,140
E00155367,83,17
E00155452,119,111
E00155642,143,138
E00155658,129,124
E00155757,169,69
E00155768,109,95
E00155769,131,126
E00155770,118,114
E00155771,125,118
E00155773,131,118
E00155774,116,98
E00155775,121,103
E00155776,123,111
E00155777,124,114
E00155778,127,116
E00155779,116,114
E00155780,122,116
E00156283,122,111
E00156284,136,127
E00156285,143,62
E00156286,127,113
E00156287,137,111
E00156288,128,78
E00156289,121,12
E00156290,132,110
E00156291,116,50
E00156292,111,90
E00156293,152,110
E00156294,123,76
E00156295,100,88
E00156296,114,101
E00156297,149,113
E00156298,162,111
E00156299,126,107
E00156300,121,102
E00156301,154,87
E00156302,128,68
E00156303,137,70
E00156304,126,103
E00156305,129,88
E00156306,127,53
E00156307,170,91
E00156308,124,109
E00156309,128,109
E00156310,140,101
E00156311,125,98
E00156312,128,103
E00156313,118,100
E00156314,120,109
E00156315,122,89
E00156316,144,47
E00156317,135,101
E00156318,132,116
E00156319,172,122
E00156320,123,96
E00156321,116,61
E00156322,143,126
E00156323,113,90
E00156324,207,107
E00156326,129,109
E00156327,124,119
E00156328,148,48
E00156329,105,42
E00156330,118,104
E00156331,106,89
E00156332,248,142
E00156333,127,106
E00156335,130,81
E00156337,121,82
E00156338,129,93
E00156339,153,119
E00156340,115,100
E00156341,120,48
E00156344,125,104
E00156345,115,65
E00156346,120,56
E00156347,244,62
E00156349,164,53
E00156351,112,78
E00156352,112,64
E00156353,117,83
E00156354,99,58
E00156355,139,80
E00156356,113,72
E00156357,159,91
E00156358,125,90
E00156359,109,92
E00156360,116,104
E00156361,114,78
E00156362,121,109
E00156363,126,119
E00156364,121,114
E00156365,117,98
E00156366,113,88
E00156367,116,107
E00156368,119,113
E00156369,110,101
E00156370,72,64
E00156371,138,79
E00156372,125,121
E00156373,117,100
E00156374,110,70
E00156375,118,103
E00156376,109,90
E00156377,113,95
E00156451,137,125
E00156456,126,91
E00156457,115,99
E00156462,126,19
E00156466,123,90
E00156467,127,96
E00156468,127,80
E00156469,112,85
E00156470,171,145
E00156471,154,129
E00156472,134,106
E00156473,136,120
E00156474,136,109
E00156475,131,122
E00156476,138,124
E00156477,136,122
E00156478,136,121
E00156479,138,124
E00156480,134,110
E00156481,114,79
E00156482,102,60
E00156483,137,91
E00156484,104,38
E00156523,125,117
E00156524,123,116
E00156525,127,113
E00156526,120,114
E00156527,126,124
E00156528,136,93
E00156529,138,76
E00156530,123,104
E00156531,113,70
E00156532,122,110
E00156533,124,120
E00156534,136,112
E00156535,141,113
E00156536,121,101
E00156537,128,116
E00156538,135,124
E00156539,115,79
E00156656,129,68
E00156665,136,127
E00156666,120,57
E00156667,135,73
E00156702,125,120
E00156703,136,119
E00156704,133,127
E00156705,126,105
E00156706,211,166
E00156707,139,61
E00156708,99,93
E00156709,121,110
E00156710,130,89
E00156711,127,99
E00156712,130,113
E00156713,144,112
E00156714,188,140
E00156715,129,94
E00156716,109,99
E00156717,137,107
E00156718,110,101
E00156719,118,104
E00156720,132,117
E00156721,127,95
E00156722,149,137
E00156723,105,97
E00157760,142,120
E00157761,139,119
E00157762,125,102
E00157763,136,117
E00157764,126,107
E00157765,129,110
E00157766,165,79
E00157767,197,135
E00157768,117,98
E00157769,124,90
E00157770,121,98
E00157771,109,98
E00157772,110,63
E00157773,86,23
E00157774,128,120
E00157775,123,113
E00157776,120,57
E00157777,143,126
E00157778,158,147
E00157779,125,98
E00157780,126,109
E00157781,123,114
E00157782,115,62
E00157783,187,132
E00157855,165,137
E00157932,131,93
E00157933,151,78
E00157935,139,89
E00158002,115,110
E00158003,123,116
E00158004,121,117
E00158005,115,97
E00158006,140,127
E00158007,98,80
E00158008,111,92
E00158009,127,118
E00158010,118,113
E00158011,98,92
E00158013,117,109
E00158014,127,122
E00158015,115,99
E00158016,106,99
E00158017,128,119
E00158018,116,111
E00158034,145,134
E00158035,130,120
E00158036,133,126
E00158037,129,122
E00158038,119,106
E00158039,132,116
E00158040,123,75
E00158041,139,77
E00158042,130,115
E00158043,125,55
E00158044,143,121
E00158045,129,113
E00158046,114,39
E00158047,224,103
E00158048,125,109
E00158049,148,134
E00158050,132,94
E00167789,92,87
E00167790,109,70
E00167791,98,56
E00167792,91,21
E00167796,104,90
E00167797,104,59
E00167799,143,122
E00170427,139,92
E00170428,327,98
E00170429,95,33
E00170430,91,9
