areacd,total,value
E00071220,143,132
E00071221,116,106
E00071222,113,104
E00071223,134,119
E00071224,133,77
E00071225,178,152
E00071226,106,68
E00071227,114,94
E00071228,110,99
E00071231,134,82
E00071270,86,73
E00071271,121,18
E00071272,128,103
E00071273,141,80
E00071274,127,76
E00071275,127,56
E00071276,134,42
E00071277,135,91
E00071278,134,58
E00071279,121,68
E00071280,124,123
E00071352,129,115
E00071353,122,109
E00071354,115,111
E00071355,111,56
E00071356,132,109
E00071357,92,84
E00071358,131,5
E00071360,120,108
E00071369,94,63
E00071370,60,50
E00071371,109,98
E00071376,117,91
E00071377,124,109
E00071382,120,101
E00071383,103,73
E00071384,130,69
E00071385,114,106
E00071386,122,39
E00071387,104,84
E00071390,131,94
E00071391,125,105
E00071392,115,84
E00071393,226,93
E00071394,112,28
E00071395,124,57
E00071396,104,54
E00071397,136,99
E00071399,123,39
E00071402,100,67
E00071404,114,76
E00071405,115,75
E00071406,119,30
E00071407,117,36
E00071408,93,54
E00071409,114,29
E00071410,106,49
E00071411,105,45
E00071412,105,47
E00071413,50,41
E00071414,112,105
E00071415,127,111
E00071416,97,84
E00071417,127,66
E00071418,135,117
E00071419,86,40
E00071420,123,101
E00071421,125,75
E00071422,117,64
E00071423,140,56
E00071424,126,46
E00071425,108,90
E00071426,110,73
E00071428,141,61
E00071429,147,124
E00071430,125,113
E00071431,142,78
E00071432,118,30
E00071433,173,32
E00071434,200,109
E00071435,229,94
E00071436,130,57
E00071437,125,12
E00071458,124,58
E00071459,133,61
E00071460,173,132
E00071461,119,62
E00071594,110,85
E00071595,130,116
E00071596,117,111
E00071597,112,101
E00071598,121,100
E00071599,119,100
E00071600,128,117
E00071601,124,66
E00071602,112,89
E00071640,116,94
E00071641,114,102
E00071642,117,96
E00071643,126,77
E00071644,127,117
E00071645,114,66
E00071646,118,114
E00071647,123,119
E00071648,123,104
E00071649,118,82
E00071702,98,92
E00071703,129,105
E00071704,117,81
E00071705,186,153
E00071706,126,119
E00071707,132,124
E00071709,108,91
E00071710,123,98
E00071711,141,131
E00071712,175,126
E00071713,105,66
E00071714,138,121
E00071715,108,95
E00071726,118,89
E00071734,131,109
E00146991,109,93
E00146992,114,68
E00146993,108,67
E00146994,152,119
E00146995,152,83
E00146996,138,100
E00146997,123,106
E00146998,135,99
E00146999,145,124
E00147026,163,133
E00147027,122,77
E00147030,134,114
E00147031,116,63
E00147032,99,31
E00147033,134,108
E00147034,127,82
E00147035,115,95
E00147036,128,101
E00147037,94,74
E00147038,142,113
E00147039,107,87
E00147045,131,121
E00147047,129,81
E00147048,130,66
E00147049,137,111
E00147050,194,36
E00147051,123,100
E00147054,140,92
E00147055,119,110
E00147056,136,122
E00147057,144,78
E00147058,112,76
E00147059,136,130
E00147060,144,128
E00147062,155,129
E00147063,173,128
E00147064,138,34
E00147065,133,74
E00147066,246,180
E00147067,141,84
E00147068,131,93
E00147069,118,105
E00147070,144,72
E00147071,132,81
E00147072,132,83
E00147073,126,59
E00147074,123,109
E00147075,122,89
E00147076,130,91
E00147077,127,90
E00147078,159,126
E00147079,140,94
E00147082,153,119
E00147083,126,107
E00147084,129,105
E00147085,147,104
E00147086,140,129
E00147091,189,122
E00147093,128,62
E00147094,116,71
E00147095,108,89
E00147096,116,60
E00147097,135,70
E00147098,149,114
E00147100,151,125
E00147101,129,115
E00147104,147,38
E00147105,166,135
E00147106,128,72
E00147107,147,98
E00147108,205,175
E00147109,126,92
E00147110,127,80
E00147111,128,112
E00147112,214,128
E00147113,140,68
E00147114,129,52
E00147115,137,124
E00147116,105,86
E00147117,118,99
E00147118,129,105
E00147119,143,114
E00147120,98,86
E00147121,121,92
E00147122,139,61
E00147123,133,122
E00147124,116,95
E00147125,119,67
E00147126,126,105
E00147127,126,93
E00147128,120,105
E00147129,157,90
E00147130,116,62
E00147167,120,95
E00147168,112,86
E00147170,110,105
E00147302,116,84
E00147303,110,101
E00147304,124,93
E00147305,133,119
E00147306,131,75
E00147307,135,88
E00147308,123,92
E00147309,139,99
E00147310,145,104
E00147311,158,99
E00147312,140,116
E00147313,134,78
E00147314,128,73
E00147316,120,116
E00147317,142,127
E00147318,119,102
E00147319,118,62
E00147320,131,79
E00147321,126,50
E00147322,110,19
E00147323,125,30
E00147324,130,103
E00147325,170,118
E00147326,190,126
E00147327,153,136
E00147328,159,125
E00147329,129,123
E00147330,128,108
E00147331,123,107
E00147349,146,78
E00147350,171,91
E00147351,152,82
E00147352,146,94
E00147353,141,83
E00147354,112,98
E00147355,138,122
E00147356,147,104
E00147357,125,96
E00147358,120,40
E00147359,124,105
E00147360,118,96
E00147361,140,109
E00147362,145,121
E00147363,131,72
E00147364,121,99
E00147366,190,101
E00147367,132,94
E00147368,143,77
E00147369,142,114
E00147370,129,113
E00147371,122,97
E00147372,117,97
E00147373,136,109
E00147374,139,86
E00147375,151,112
E00147376,135,106
E00147377,134,121
E00147378,116,73
E00147379,127,110
E00147380,125,85
E00147381,128,8
E00147382,153,134
E00147383,106,71
E00147384,227,101
E00147385,116,88
E00147386,128,53
E00147387,140,46
E00147388,159,72
E00147389,125,105
E00147390,125,67
E00147391,137,61
E00147393,120,73
E00147394,124,97
E00147395,167,56
E00147396,174,80
E00147397,189,76
E00147398,225,81
E00147399,172,82
E00147400,179,115
E00147401,123,67
E00147402,165,63
E00147403,124,109
E00147405,133,106
E00147406,131,105
E00147407,136,125
E00147412,127,119
E00147413,121,114
E00147414,132,123
E00147415,124,93
E00147416,130,112
E00147417,127,124
E00147426,127,84
E00147427,136,105
E00147428,132,128
E00147429,126,117
E00147430,146,96
E00147431,123,113
E00147432,120,115
E00147433,164,117
E00147434,126,41
E00147435,120,111
E00147436,132,99
E00147437,144,127
E00147438,132,120
E00147439,123,105
E00147440,122,83
E00147449,131,50
E00147450,127,52
E00147451,129,58
E00147452,129,74
E00147453,133,122
E00147454,129,116
E00147455,123,116
E00147456,125,95
E00147457,128,78
E00147458,128,28
E00147459,122,99
E00147460,131,104
E00147461,124,34
E00147462,133,41
E00147463,127,32
E00147464,128,120
E00147465,113,97
E00147466,83,63
E00147471,99,71
E00147472,133,71
E00147473,92,83
E00147485,136,119
E00147493,140,133
E00147499,136,59
E00147500,128,117
E00147501,116,111
E00147502,114,97
E00147503,121,113
E00147504,133,57
E00147505,141,54
E00147506,129,122
E00147507,129,50
E00147508,122,86
E00147509,129,15
E00147510,130,68
E00147511,124,106
E00147512,122,42
E00147513,130,65
E00147514,133,59
E00147515,145,107
E00147516,145,51
E00147517,131,73
E00147526,152,125
E00147528,117,37
E00147529,113,87
E00147530,130,126
