areacd,total,value
E00063398,164,94
E00063412,110,43
E00063414,111,96
E00063415,178,9
E00063419,133,80
E00063420,111,82
E00063421,135,86
E00063422,137,69
E00063423,114,87
E00063425,114,37
E00063426,152,102
E00063427,120,74
E00063428,135,107
E00063429,119,84
E00063430,126,48
E00063431,138,66
E00063432,147,119
E00063433,150,92
E00063434,136,66
E00063435,156,135
E00063436,156,129
E00063437,125,112
E00063438,124,111
E00063439,129,121
E00063440,129,113
E00063441,132,124
E00063443,130,123
E00063444,128,117
E00063445,125,117
E00063446,132,125
E00063447,124,118
E00063448,116,105
E00063449,126,118
E00063450,111,100
E00063452,154,131
E00063453,127,101
E00063454,133,100
E00063455,119,77
E00063456,107,39
E00063457,120,86
E00063458,129,97
E00063459,102,83
E00063460,144,94
E00063463,120,107
E00063464,127,106
E00063465,126,97
E00063466,127,101
E00063467,119,97
E00063468,116,87
E00063547,122,57
E00063549,124,97
E00063550,123,77
E00063551,117,53
E00063552,125,121
E00063553,142,89
E00063554,137,55
E00063555,152,102
E00063556,135,129
E00063557,153,64
E00063558,140,116
E00063559,147,99
E00063560,124,51
E00063561,119,77
E00063562,132,89
E00063563,122,79
E00063564,116,87
E00063680,110,96
E00063681,126,67
E00063682,112,65
E00063683,113,100
E00063684,122,100
E00063685,115,71
E00063686,124,108
E00063687,117,105
E00063688,114,109
E00063689,116,106
E00063690,113,101
E00063691,119,104
E00063692,133,114
E00063693,140,133
E00063694,122,102
E00063695,140,121
E00063696,143,134
E00063697,122,79
E00063698,128,87
E00063699,128,101
E00063700,124,114
E00063726,134,98
E00063727,143,91
E00063728,123,103
E00063729,132,107
E00063730,125,47
E00063731,123,93
E00063732,139,86
E00063733,236,12
E00063734,106,87
E00063735,166,92
E00063736,150,126
E00063737,161,137
E00063738,142,124
E00063739,105,38
E00063740,129,114
E00063741,117,94
E00063742,121,77
E00063788,104,24
E00063793,118,52
E00063794,113,41
E00063795,181,68
E00063796,104,37
E00063798,111,43
E00063799,140,69
E00126961,148,98
E00126968,113,91
E00128063,125,107
E00128064,135,124
E00128065,136,124
E00128066,109,78
E00128067,124,60
E00128068,138,110
E00128069,144,61
E00128070,112,60
E00128071,132,68
E00128072,135,52
E00128073,101,90
E00128074,118,93
E00128075,124,119
E00128076,128,100
E00128077,113,82
E00128078,125,75
E00128079,144,108
E00128080,112,28
E00128081,142,106
E00128082,113,53
E00128083,136,79
E00128084,155,87
E00128085,103,26
E00128086,145,130
E00128087,113,48
E00128088,121,96
E00128089,98,82
E00128090,124,112
E00128091,108,16
E00128092,117,45
E00128093,149,64
E00128094,122,55
E00128095,101,46
E00128096,131,55
E00128097,115,25
E00128098,125,104
E00128099,136,126
E00128100,127,111
E00128101,142,122
E00128102,109,93
E00128103,137,125
E00128104,140,111
E00128105,136,125
E00128106,122,111
E00128107,142,106
E00128108,120,109
E00128109,132,124
E00128110,133,123
E00128111,130,120
E00128112,130,118
E00128113,156,104
E00128114,122,113
E00128115,131,124
E00128116,128,32
E00128117,122,115
E00128118,127,116
E00128119,125,112
E00128120,114,74
E00128121,139,100
E00128122,115,109
E00128123,135,121
E00128124,123,119
E00128125,139,61
E00128126,143,78
E00128127,116,99
E00128128,135,106
E00128129,136,36
E00128130,132,68
E00128131,142,107
E00128132,134,97
E00128133,124,91
E00128134,142,76
E00128135,133,93
E00128136,134,96
E00128137,116,87
E00128138,128,84
E00128139,138,83
E00128140,122,91
E00128141,129,78
E00128142,137,56
E00128143,123,59
E00128144,152,75
E00128146,105,63
E00128147,145,77
E00128148,69,7
E00128149,131,118
E00128150,113,88
E00128151,133,26
E00128152,131,63
E00128153,104,15
E00128154,123,99
E00128155,157,71
E00128156,127,28
E00128157,97,26
E00128158,105,73
E00128159,212,76
E00128160,122,112
E00128161,236,202
E00128162,134,101
E00128164,123,107
E00128165,109,107
E00128166,111,105
E00128167,103,64
E00128168,113,104
E00128169,120,113
E00128170,126,114
E00128171,110,103
E00128172,134,23
E00128173,82,33
E00128174,119,98
E00128175,162,21
E00128176,111,93
E00128177,114,103
E00128178,111,97
E00128179,113,90
E00128180,191,135
E00128181,127,117
E00128182,143,136
E00128183,130,122
E00128184,124,117
E00128185,137,130
E00128186,121,111
E00128187,132,127
E00128188,113,105
E00128189,121,113
E00128190,117,115
E00128191,128,119
E00128192,132,105
E00128193,126,121
E00128194,113,105
E00128195,130,120
E00128196,136,126
E00128197,129,117
E00128198,138,124
E00128199,127,118
E00128200,103,39
E00128201,123,116
E00128202,127,125
E00128203,148,118
E00128204,123,48
E00128205,116,104
E00128206,115,82
E00128207,115,34
E00128208,135,113
E00128209,154,25
E00128210,117,29
E00128211,138,35
E00128212,122,112
E00128213,137,70
E00128214,114,72
E00128215,142,28
E00128216,143,112
E00128217,139,41
E00128218,135,26
E00128219,122,42
E00128220,113,98
E00128221,78,77
E00128222,137,51
E00128223,147,123
E00128224,116,50
E00128225,128,52
E00128226,133,38
E00128227,129,56
E00128228,122,47
E00128229,109,95
E00128230,124,113
E00128231,127,82
E00128232,122,59
E00128233,124,87
E00128234,141,105
E00128235,140,54
E00128236,108,36
E00128237,109,100
E00128238,117,67
E00128239,121,84
E00128240,123,72
E00128241,123,98
E00128242,155,88
E00128243,109,71
E00128244,144,58
E00128245,140,87
E00128246,175,93
E00128247,132,118
E00128248,107,99
E00128249,118,110
E00128250,145,124
E00128251,137,51
E00128252,136,134
E00128253,142,134
E00128254,136,60
E00128255,122,116
E00128256,142,8
E00128257,238,208
E00128258,112,100
E00128259,129,120
E00128260,128,117
E00128261,129,126
E00128262,138,104
E00128263,150,118
E00128264,145,123
E00128265,131,120
E00128266,124,107
E00128267,121,104
E00128268,115,100
E00128269,117,77
E00128270,122,79
E00128271,119,73
E00128272,121,112
E00128273,152,40
E00128274,143,27
E00128275,132,46
E00128276,131,93
E00128277,127,86
E00128278,130,70
E00128279,135,71
E00128280,125,64
E00128281,125,60
E00128282,132,64
E00128283,141,59
E00128284,132,40
E00128285,116,95
E00128286,128,78
E00128287,128,13
E00128288,136,53
E00128289,129,90
E00128290,101,86
E00128291,115,77
E00128292,130,124
E00128293,131,121
E00128294,135,114
E00128295,125,119
E00128296,189,159
E00128297,111,99
E00128298,179,140
E00128299,199,185
E00128300,117,98
E00128301,126,110
E00128302,82,72
E00128303,186,172
E00128304,110,103
E00128305,50,45
E00128306,100,89
E00128307,62,57
E00128308,95,79
E00128309,166,146
E00128310,155,130
E00128311,126,116
E00128312,124,122
E00128313,79,74
E00128314,129,112
E00128315,98,88
E00128316,130,115
E00128317,126,109
E00128318,132,102
E00128319,137,126
E00128320,143,115
E00128321,135,122
E00128322,148,141
E00128323,145,126
E00128324,172,46
E00128325,118,90
E00128326,146,95
E00128327,191,33
E00128328,155,58
E00128329,152,96
E00128330,168,78
E00128331,189,43
E00128332,148,84
E00128333,145,70
E00128334,140,66
E00128335,150,49
E00128336,132,109
E00128337,137,56
E00128338,113,100
E00128339,119,98
E00128340,139,74
E00128341,114,61
E00128342,173,70
E00128343,141,94
E00128344,151,20
E00128345,117,37
E00128346,106,27
E00128347,165,61
E00128348,148,35
E00128349,124,82
E00128350,163,82
E00128352,117,32
E00128353,165,67
E00128354,202,20
E00128355,134,41
E00128356,244,89
E00128357,122,57
E00128358,83,14
E00128359,228,65
E00128360,120,51
E00128361,119,66
E00128362,130,63
E00128363,106,59
E00128364,152,108
E00128365,106,84
E00128366,115,66
E00128367,93,41
E00128368,128,68
E00128369,119,81
E00128370,150,79
E00128372,139,60
E00128373,109,27
E00128374,154,19
E00128375,177,69
E00128377,111,82
E00128379,110,74
E00128382,169,21
E00128384,70,4
E00128385,112,29
E00128386,137,9
E00128387,132,47
E00128388,126,72
E00128389,165,65
E00128390,171,70
E00128391,143,74
E00128392,182,83
E00128393,167,37
E00128394,142,89
E00128395,195,25
E00128397,135,65
E00128398,144,107
E00128399,114,54
E00128400,163,119
E00128401,170,63
E00128403,132,102
E00128404,81,39
E00128405,162,20
E00128406,157,77
E00128407,130,68
E00128408,141,121
E00128409,114,104
E00128410,140,120
E00128411,128,122
E00128412,115,91
E00128413,128,122
E00128414,148,37
E00128415,128,114
E00128416,123,66
E00128417,114,102
E00128418,125,105
E00128419,124,90
E00128420,133,122
E00128421,108,95
E00128422,128,116
E00128423,122,110
E00128424,119,84
E00128425,110,96
E00128426,118,107
E00128427,132,112
E00128428,124,117
E00128429,140,48
E00128430,214,44
E00128431,148,99
E00128432,109,89
E00128433,134,51
