x,y
-2.208,53.842
-2.029,53.503
-2.204,53.835
-2.136,53.486
-2.151,53.485
-3.031,53.843
-3.040,53.834
-3.029,53.857
-3.047,53.852
-2.411,53.656
-3.038,53.870
-2.471,53.698
-2.457,53.686
-3.051,53.831
-3.017,53.831
-3.133,54.600
-3.199,54.182
-3.547,54.633
-3.531,54.656
-3.557,54.633
-3.412,54.661
-3.356,54.661
-3.179,54.153
-3.212,54.133
-2.116,53.561
-2.155,53.445
-2.439,53.430
-2.144,53.553
-2.415,53.451
-2.075,53.565
-2.280,53.474
-2.131,53.562
-2.361,53.478
-2.108,53.569
-2.349,53.480
-2.008,53.567
-2.371,53.480
-2.093,53.577
-2.284,53.487
-2.132,53.575
-2.092,53.553
-2.161,53.432
-2.082,53.550
-2.165,53.444
-2.177,53.488
-2.217,53.484
-2.829,54.064
-2.178,53.499
-2.238,53.511
-2.209,53.506
-2.215,53.515
-2.195,53.513
-2.214,53.166
-2.236,53.165
-3.508,54.445
-2.440,53.183
-2.191,53.480
-3.275,54.211
-2.196,53.167
-3.584,54.530
-2.360,53.201
-3.535,54.485
-2.450,53.190
-3.567,54.543
-2.793,53.046
-2.662,53.164
-3.512,54.525
-2.340,53.217
-2.528,53.181
-3.558,54.579
-3.584,54.548
-2.192,53.155
-2.370,53.149
-2.606,54.742
-2.815,54.753
-2.931,53.427
-2.902,53.427
-2.963,53.429
-2.950,53.428
-2.920,53.434
-2.877,53.431
-2.979,53.436
-2.947,53.435
-2.986,53.423
-2.971,53.421
-2.944,53.604
-2.843,53.598
-2.839,53.694
-2.912,53.674
-2.684,53.689
-2.718,53.688
-2.735,53.693
-2.708,53.694
-2.755,53.593
-2.680,53.789
-2.744,53.784
-2.735,53.807
-2.714,53.793
-2.231,53.823
-2.647,53.817
-2.219,53.833
-2.198,53.833
-2.073,53.396
-2.672,53.590
-2.109,53.393
-2.316,53.370
-2.186,53.401
-2.359,53.376
-2.144,53.400
-2.337,53.379
-2.171,53.403
-2.365,53.390
-2.048,53.403
-2.347,53.394
-2.154,53.410
-2.328,53.395
-2.707,53.781
-2.136,53.406
-2.311,53.395
-2.673,53.779
-2.198,53.393
-2.693,53.573
-2.159,53.394
-2.657,53.584
-2.666,53.322
-2.710,53.329
-2.739,53.336
-2.720,53.336
-2.687,53.337
-2.664,53.337
-2.774,53.356
-2.732,53.364
-2.710,53.319
-2.686,53.322
-2.980,53.449
-3.044,53.436
-2.996,53.459
-2.994,53.450
-3.005,53.463
-2.978,53.463
-3.016,53.470
-2.986,53.471
-3.038,53.428
-3.066,53.425
-2.582,53.390
-2.601,53.386
-2.660,53.394
-2.633,53.389
-2.608,53.400
-2.531,53.399
-2.581,53.402
-2.559,53.401
-2.657,53.384
-2.561,53.383
-2.992,53.411
-2.977,53.406
-2.087,53.541
-2.180,53.414
-2.984,53.397
-2.005,53.538
-2.080,53.416
-2.145,53.544
-2.116,53.420
-2.067,53.543
-2.192,53.421
-2.162,53.547
-2.163,53.421
-2.128,53.546
-2.178,53.427
-2.027,53.550
-2.094,53.427
-2.113,53.548
-2.135,53.429
-2.055,53.538
-2.200,53.413
-2.098,53.536
-2.105,53.414
-2.284,53.595
-2.316,53.596
-2.332,53.606
-2.271,53.600
-2.293,53.611
-2.312,53.607
-2.332,53.629
-2.337,53.621
-2.331,53.590
-2.902,54.372
-2.295,53.585
-2.742,54.336
-2.371,54.481
-2.962,54.428
-2.841,54.632
-2.545,54.589
-2.754,54.663
-2.751,54.327
-2.727,54.323
-2.950,53.413
-2.958,53.406
-2.939,53.415
-2.909,53.415
-2.888,53.419
-2.919,53.417
-2.954,53.421
-2.873,53.419
-2.914,53.405
-2.761,53.547
-2.759,53.539
-2.803,53.550
-2.905,53.550
-2.777,53.562
-2.776,53.555
-2.881,53.566
-2.838,53.562
-2.732,53.542
-3.018,53.922
-2.860,54.072
-2.839,54.076
-2.725,54.075
-2.645,54.120
-2.800,54.096
-2.771,54.130
-2.194,53.382
-2.685,53.544
-2.119,53.382
-2.668,53.544
-2.222,53.388
-2.619,53.547
-2.063,53.387
-2.644,53.553
-2.172,53.390
-2.604,53.555
-2.141,53.388
-2.632,53.558
-2.126,53.393
-2.653,53.560
-2.873,54.063
-2.236,53.393
-2.592,53.571
-2.884,54.063
-2.167,53.378
-2.577,53.535
-2.132,53.374
-2.604,53.543
-2.573,53.411
-2.555,53.416
-2.588,53.416
-2.515,53.420
-2.533,53.423
-2.649,53.432
-2.513,53.450
-2.528,53.452
-2.629,53.402
-2.644,53.404
-3.040,53.409
-3.068,53.402
-3.025,53.412
-3.101,53.406
-3.048,53.417
-3.054,53.425
-3.033,53.419
-3.114,53.401
-3.142,53.401
-2.504,53.757
-2.469,53.759
-2.572,53.353
-2.477,53.768
-2.576,53.369
-2.558,53.357
-2.475,53.381
-2.545,53.377
-2.484,53.757
-2.500,53.749
-2.234,53.487
-2.130,53.276
-2.158,53.265
-2.239,53.301
-2.104,53.294
-2.150,53.293
-2.375,53.300
-2.249,53.319
-2.360,53.306
-2.114,53.263
-2.141,53.261
-2.324,53.553
-2.303,53.550
-2.336,53.563
-2.281,53.560
-2.338,53.570
-2.313,53.568
-2.359,53.576
-2.294,53.575
-2.292,53.548
-2.279,53.548
-2.926,53.468
-2.847,53.371
-2.835,53.366
-2.847,53.406
-2.814,53.396
-2.876,53.411
-2.829,53.407
-2.953,53.467
-2.966,53.462
-2.891,54.044
-2.810,54.043
-2.799,54.048
-2.792,54.043
-2.786,54.052
-2.855,54.062
-2.802,54.062
-2.789,54.034
-2.789,54.005
-2.933,53.519
-2.934,53.510
-3.054,53.551
-2.949,53.525
-3.059,53.561
-3.075,53.550
-3.046,53.598
-3.072,53.563
-2.948,53.506
-3.009,53.498
-2.255,53.512
-2.278,53.511
-2.314,53.515
-2.349,53.513
-2.343,53.519
-2.395,53.519
-2.426,53.525
-2.334,53.522
-2.335,53.506
-2.416,53.505
-2.302,53.788
-2.264,53.784
-2.261,53.471
-2.197,53.785
-2.252,53.475
-2.216,53.787
-2.243,53.471
-2.231,53.790
-2.246,53.501
-2.270,53.793
-2.233,53.477
-2.276,53.797
-2.639,53.713
-2.549,53.274
-2.756,53.269
-2.719,53.294
-2.557,53.291
-2.128,53.246
-2.131,53.255
-2.156,53.253
-2.463,53.270
-2.512,53.261
-2.232,53.418
-2.448,53.564
-2.260,53.423
-2.370,53.563
-2.207,53.427
-2.447,53.570
-2.222,53.428
-2.422,53.564
-2.245,53.427
-2.386,53.576
-2.235,53.430
-2.481,53.572
-2.280,53.437
-2.408,53.582
-2.215,53.437
-2.461,53.578
-2.223,53.409
-2.437,53.561
-2.285,53.411
-2.459,53.559
-2.913,53.445
-2.932,53.443
-2.943,53.447
-2.962,53.445
-2.963,53.453
-2.881,53.451
-2.902,53.453
-2.928,53.453
-2.969,53.441
-2.892,53.437
-2.351,53.448
-2.324,53.451
-2.394,53.450
-3.043,53.910
-2.864,53.376
-2.519,53.501
-2.962,53.379
-2.502,53.499
-2.914,53.381
-2.458,53.507
-2.931,53.380
-2.448,53.503
-2.890,53.384
-2.585,53.510
-2.869,53.386
-2.528,53.511
-2.838,53.387
-2.603,53.522
-3.024,53.879
-2.966,53.387
-2.462,53.515
-3.008,53.877
-2.912,53.369
-2.648,53.499
-2.943,53.375
-2.537,53.499
-2.422,53.822
-2.484,53.788
-2.350,53.828
-2.603,53.828
-2.400,53.868
-2.592,53.835
-2.392,53.900
-2.388,53.874
-2.220,53.366
-2.179,53.360
-2.074,53.366
-2.189,53.366
-2.230,53.372
-2.156,53.369
-2.202,53.373
-2.284,53.725
-1.006,53.207
-1.304,52.971
-1.184,53.132
-1.152,53.134
-1.165,53.140
-1.271,52.898
-1.296,52.897
-0.802,53.081
-1.273,53.143
-1.111,53.113
-1.393,52.543
-1.370,52.546
-1.362,52.553
-1.416,52.569
-1.344,52.570
-1.315,52.574
-1.307,52.625
-1.404,52.638
-1.357,52.534
-1.385,52.537
-1.370,52.721
-0.369,52.712
-0.370,52.766
-1.528,52.739
-0.384,52.772
-1.334,52.723
-0.626,52.807
-1.480,52.743
-0.367,52.840
-1.355,52.738
-0.601,52.914
-1.369,52.750
-0.640,52.905
-1.407,52.745
-0.661,52.907
-1.510,52.703
-0.299,52.676
-1.397,52.691
-0.320,52.680
-0.936,52.251
-0.883,52.253
-0.827,52.252
-0.875,52.254
-0.960,52.255
-0.809,52.256
-0.863,52.255
-0.948,52.249
-0.850,52.244
-1.117,52.649
-1.099,52.647
-1.148,52.650
-1.069,52.655
-1.122,52.655
-1.114,52.655
-1.162,52.659
-1.101,52.658
-2.001,53.368
-1.966,53.440
-1.948,53.441
-1.168,52.644
-1.981,53.455
-1.069,52.642
-1.968,53.464
-1.295,52.885
-1.273,52.889
-1.334,52.896
-1.985,53.368
-1.343,52.842
-0.856,52.744
-0.883,52.756
-0.896,52.767
-0.955,52.766
-0.883,52.774
-0.837,52.896
-1.362,52.526
-1.474,52.751
-1.285,52.833
-0.759,53.396
-1.478,53.049
-1.157,53.156
-1.387,53.076
