areacd,total,value
E00065661,152,131
E00065665,117,60
E00065667,171,151
E00065677,113,93
E00065678,105,93
E00065679,151,135
E00065680,116,78
E00065681,155,131
E00065682,129,99
E00065683,159,138
E00065684,156,123
E00065685,130,111
E00065686,164,145
E00065687,113,102
E00065688,171,157
E00065689,222,195
E00065690,136,121
E00065691,131,55
E00065692,120,105
E00065693,116,86
E00065694,113,104
E00065695,147,131
E00065696,150,106
E00065697,168,107
E00065698,134,116
E00065699,135,121
E00065700,141,126
E00065701,123,91
E00065702,157,130
E00065703,123,103
E00065704,175,159
E00065710,159,87
E00065712,139,126
E00065718,69,65
E00065719,113,97
E00065857,130,110
E00065858,98,80
E00065859,128,109
E00065860,130,76
E00065862,118,100
E00065863,117,104
E00065864,113,41
E00065865,193,165
E00065866,165,133
E00065867,126,91
E00065868,122,105
E00065869,134,120
E00065870,136,126
E00065871,132,66
E00065872,124,105
E00065873,120,109
E00065874,138,103
E00065875,127,122
E00065876,106,86
E00065877,153,105
E00065878,181,99
E00065879,115,34
E00065880,156,28
E00065881,149,85
E00065882,163,77
E00065883,146,127
E00065884,137,116
E00065885,115,105
E00065886,120,99
E00065887,175,151
E00065888,160,126
E00065900,124,106
E00065901,122,89
E00065902,123,113
E00065903,123,120
E00065904,137,125
E00065905,150,94
E00065906,128,120
E00065907,127,115
E00066196,100,82
E00066197,97,77
E00066201,143,122
E00066202,119,102
E00066208,65,53
E00066209,80,69
E00066231,168,153
E00066232,142,103
E00066233,100,74
E00066235,94,68
E00066238,125,115
E00066239,103,78
E00066240,211,186
E00066242,55,42
E00067384,109,90
E00067393,78,60
E00067540,119,89
E00067541,123,43
E00067637,123,30
E00067639,160,133
E00067641,126,86
E00067643,124,90
E00067645,126,91
E00067646,131,49
E00067649,116,85
E00067650,154,44
E00067651,138,77
E00067652,136,112
E00067654,127,99
E00067655,138,115
E00067750,126,72
E00067758,123,110
E00067759,138,125
E00067904,124,102
E00067905,97,93
E00067906,136,122
E00067907,114,83
E00067908,121,101
E00067911,124,116
E00067912,127,110
E00067913,147,109
E00067914,102,97
E00067915,48,45
E00067916,140,131
E00067917,127,114
E00142020,131,110
E00142021,150,136
E00142022,119,108
E00142023,110,82
E00142024,116,47
E00142025,135,115
E00142026,145,126
E00142027,135,107
E00142028,123,95
E00142030,155,106
E00142033,169,157
E00142034,119,106
E00142122,161,138
E00142123,178,156
E00142124,96,87
E00142125,123,85
E00142126,162,138
E00142127,138,113
E00142128,194,172
E00142129,179,169
E00142130,105,90
E00142131,120,74
E00142132,143,118
E00142133,43,37
E00142145,117,108
E00142146,131,108
E00142147,148,114
E00142148,135,112
E00142149,106,77
E00142150,120,99
E00142151,121,112
E00142152,115,99
E00142153,83,52
E00142154,51,24
E00142159,46,39
E00142205,126,65
E00170119,120,66
E00170122,64,33
E00170123,66,33
E00170124,71,45
E00170153,37,29
