areacd,total,value
E00089048,51,32
E00089054,132,112
E00089055,144,113
E00089056,139,99
E00089244,133,121
E00089245,133,92
E00089256,115,94
E00089257,99,60
E00145147,146,91
E00145148,122,110
E00145149,116,103
E00145150,129,103
E00145151,159,114
E00145152,133,89
E00145153,126,110
E00145154,126,87
E00145155,117,75
E00145156,120,105
E00145157,145,116
E00145158,121,97
E00145159,108,99
E00145160,121,77
E00145161,108,71
E00145162,113,84
E00145163,136,104
E00145164,124,120
E00145165,113,104
E00145166,142,101
E00145167,124,106
E00145168,122,30
E00145169,120,112
E00145170,135,112
E00145171,125,59
E00145172,145,117
E00145173,132,100
E00145174,152,111
E00145175,120,104
E00145176,123,113
E00145177,105,25
E00145178,146,77
E00145179,121,107
E00145180,121,92
E00145181,113,91
E00145182,119,69
E00145183,123,106
E00145184,122,105
E00145185,132,109
E00145186,116,49
E00145187,118,93
E00145188,121,109
E00145189,140,108
E00145190,122,96
E00145194,52,44
E00145211,187,161
E00145212,131,103
E00145213,139,117
E00145215,51,44
E00145216,51,45
E00145249,113,90
E00145250,96,90
E00145251,117,108
E00145252,176,120
E00145253,125,110
E00145254,137,109
E00145255,145,139
E00145256,133,91
E00145257,191,158
E00145258,120,106
E00145259,119,111
E00145260,129,109
E00145261,121,89
E00145262,110,83
E00145263,123,103
E00145264,140,100
E00145265,133,62
E00145266,183,58
E00145267,145,73
E00145268,172,53
E00145269,156,15
E00145270,141,42
E00145271,159,38
E00145272,162,50
E00145273,124,62
E00145274,132,43
E00145275,122,53
E00145277,131,44
E00145278,125,67
E00145279,136,39
E00145280,156,116
E00145281,186,152
E00145282,70,49
E00145283,135,44
E00145284,120,70
E00145285,132,40
E00145286,140,58
E00145287,131,65
E00145288,142,44
E00145289,107,6
E00145290,137,72
E00145291,131,8
E00145292,122,33
E00145293,134,29
E00145294,130,29
E00145295,137,28
E00145296,134,66
E00145297,120,67
E00145298,137,75
E00145299,136,61
E00145300,136,37
E00145301,47,18
E00145302,67,8
E00145303,117,10
E00145304,57,23
E00145307,146,25
E00145308,165,8
E00145309,118,51
E00145310,125,20
E00145311,121,48
E00145312,129,23
E00145313,129,43
E00145314,113,40
E00145315,59,31
E00145316,85,36
E00145317,130,64
E00145318,234,62
E00145319,144,22
E00145320,194,44
E00145321,123,70
E00145322,131,28
E00145323,123,47
E00145324,209,52
E00145325,113,24
E00145326,136,21
E00145327,111,39
E00145328,150,109
E00145329,135,88
E00145330,135,76
E00145331,111,23
E00145332,119,93
E00145333,123,70
E00145334,123,35
E00145335,137,95
E00145336,128,80
E00145337,134,79
E00145338,129,62
E00145339,126,36
E00145340,129,86
E00145341,142,75
E00145342,134,80
E00145343,137,90
E00145344,123,91
E00145345,126,67
E00145346,146,104
E00145348,165,57
E00145349,137,52
E00145350,128,18
E00145351,140,48
E00145352,109,48
E00145354,171,77
E00145355,159,68
E00145356,137,102
E00145357,116,26
E00145359,130,49
E00145360,150,59
E00145361,129,87
E00145362,128,57
E00145363,126,43
E00145364,122,45
E00145365,133,88
E00145366,160,68
E00145367,117,64
E00145368,126,53
E00145369,127,56
E00145370,135,96
E00145371,133,93
E00145372,121,95
E00145373,114,4
E00145374,137,63
E00145375,119,70
E00145377,107,71
E00145378,120,73
E00145379,117,93
E00145380,122,82
E00145381,114,81
E00145382,126,54
E00145383,122,58
E00145384,143,51
E00145385,128,64
E00145386,127,68
E00145387,135,18
E00145388,120,58
E00145389,131,86
E00145390,134,89
E00145391,114,29
E00145392,150,96
E00145393,143,97
E00145395,116,51
E00145396,124,60
E00145397,129,67
E00145398,107,43
E00145399,125,63
E00145400,120,72
E00145401,128,52
E00145402,252,103
E00145403,113,14
E00145404,129,57
E00145405,118,72
E00145406,136,13
E00145407,130,79
E00145408,125,50
E00145409,144,62
E00145410,96,62
E00145411,101,37
E00145412,113,77
E00145413,113,47
E00145414,157,93
E00145415,126,66
E00145416,130,67
E00145417,77,2
E00145420,105,32
E00145421,130,52
E00145422,131,27
E00145423,127,64
E00145424,117,86
E00145425,117,77
E00145426,101,28
E00145427,156,76
E00145428,130,63
E00145429,128,83
E00145430,132,82
E00145431,136,68
E00145432,135,76
E00145433,141,71
E00145434,149,71
E00145435,124,47
E00145436,128,70
E00145437,117,38
E00145438,125,21
E00145439,138,35
E00145440,120,48
E00145441,126,79
E00145442,133,75
E00145443,133,18
E00145444,143,96
E00145446,126,77
E00145447,115,3
E00145448,92,23
E00145449,117,34
E00145450,115,33
E00145451,131,33
E00145452,166,53
E00145454,98,16
E00145455,132,88
E00145456,126,19
E00145457,104,74
E00145458,112,57
E00145459,177,118
E00145460,148,97
E00145461,133,69
E00145462,191,107
E00145463,148,89
E00145464,109,69
E00145465,112,33
E00145466,130,91
E00145467,133,92
E00145468,130,71
E00145469,91,54
E00145470,121,99
E00145471,133,80
E00145472,162,99
E00145473,148,46
E00145474,135,25
E00145475,127,47
E00145476,142,109
E00145477,224,102
E00145478,122,76
E00145479,107,86
E00145480,129,91
E00145481,116,67
E00145482,140,86
E00145483,129,61
E00145484,138,78
E00145485,144,29
E00145486,139,81
E00145487,151,99
E00145488,158,117
E00145489,124,33
E00145490,153,89
E00145491,158,67
E00145492,132,92
E00145493,159,6
E00145494,107,77
E00145495,148,45
E00145497,125,59
E00145498,133,37
E00145499,124,86
E00145500,114,83
E00145501,105,61
E00145502,129,92
E00145503,107,75
E00145504,113,63
E00145505,126,74
E00145506,144,46
E00145507,131,105
E00145508,123,86
E00145509,135,75
E00145510,118,87
E00145511,134,113
E00145512,144,109
E00145513,119,101
E00145514,118,103
E00145515,140,112
E00145516,134,101
E00145517,94,46
E00145518,131,60
E00145521,114,35
E00145522,101,36
E00145523,105,43
E00145524,120,73
E00145525,75,36
E00145526,120,93
E00145527,102,52
E00145528,122,89
E00145529,133,64
E00145530,149,97
E00145531,115,26
E00145532,128,4
E00145533,137,16
E00145534,123,42
E00145535,122,12
E00145536,128,91
E00145537,131,83
E00145538,130,78
E00145539,146,67
E00145540,124,50
E00145541,128,71
E00145542,123,20
E00145543,130,45
E00145544,143,35
E00145545,116,55
E00145546,136,49
E00145547,134,17
E00145548,131,37
E00145549,136,9
E00145550,122,13
E00145551,138,2
E00145552,110,79
E00145553,120,90
E00145554,179,94
E00145555,146,101
E00145556,125,86
E00145557,117,91
E00145558,121,93
E00145559,131,100
E00145560,141,93
E00145561,131,8
E00145562,126,63
E00145563,121,71
E00145564,129,101
E00145565,132,84
E00145566,97,61
E00145567,194,96
E00145568,142,109
E00145569,143,111
E00145570,111,45
E00145571,123,88
E00145572,122,55
E00145573,123,73
E00145574,117,85
E00145575,100,40
E00145576,130,53
E00145577,189,131
E00145578,129,63
E00145579,124,90
E00145580,134,99
E00145581,131,107
E00145582,144,92
E00145583,134,44
E00145584,158,43
E00145585,97,19
E00145586,113,44
E00145587,135,83
E00145588,145,37
E00145589,184,54
E00145590,146,35
E00145591,134,101
E00145592,132,38
E00145593,143,58
E00145594,120,57
E00145595,119,36
E00145596,121,63
E00145597,132,38
E00145598,143,41
E00145599,122,37
E00145600,142,40
E00145601,180,33
E00145602,70,17
E00145603,108,6
E00145604,103,18
E00145605,131,53
E00145606,109,72
E00145607,165,55
E00145608,155,65
E00145609,134,91
E00145610,124,74
E00145612,46,34
E00145615,110,72
E00145616,63,31
E00145617,132,104
E00145618,87,63
E00145619,104,43
E00145620,126,79
E00145621,161,45
E00145622,121,45
E00145623,159,49
E00145624,145,19
E00145625,149,44
E00145626,121,40
E00145627,130,58
E00145628,133,45
E00145629,163,59
E00145630,155,35
E00145631,60,12
E00145632,116,30
E00145633,130,46
E00145634,163,25
E00145635,153,110
E00145636,23,3
E00145637,101,72
E00145638,110,73
E00145639,117,71
E00145640,130,106
E00145641,119,55
E00145642,115,73
E00145643,122,78
E00145644,125,84
E00145645,120,97
E00145646,115,86
E00145647,128,57
E00145648,164,81
E00145649,163,88
E00145650,149,54
E00145652,104,77
E00145653,125,42
E00145654,148,45
E00145655,141,42
E00145656,117,61
E00145657,137,64
E00145658,122,91
E00145659,128,117
E00145660,138,56
E00145661,151,99
E00145662,131,98
E00145663,123,70
E00145664,110,98
E00145665,129,67
E00145666,119,62
E00145667,129,45
E00145668,122,77
E00145669,142,113
E00145670,126,113
E00145671,122,75
E00145672,132,93
E00145673,130,95
E00145674,148,106
E00145675,122,56
E00145676,130,113
E00145677,139,86
E00145685,130,121
E00145687,117,97
E00145688,119,77
E00145689,123,103
E00145691,115,94
E00145694,107,99
E00145695,124,80
E00145696,135,106
E00145697,131,114
E00145698,126,117
E00145700,127,83
E00145701,132,90
E00145703,136,59
E00145704,151,90
E00145705,146,64
E00145706,124,84
E00145707,121,81
E00145708,144,75
E00145709,122,96
E00145710,133,67
E00145711,111,92
E00145712,118,93
E00145713,112,100
