areacd,total,value
E00132009,114,80
E00132010,50,23
E00132014,114,99
E00132015,104,60
E00132016,201,157
E00132017,184,161
E00132018,225,96
E00132019,84,66
E00132020,202,135
E00133256,136,76
E00133258,117,69
E00133259,143,79
E00133260,175,156
E00133261,100,78
E00133262,102,48
E00133264,147,125
E00133265,172,78
E00133266,115,107
E00133267,133,116
E00133268,98,77
E00133269,163,149
E00133270,102,88
E00133271,106,59
E00133272,125,106
E00133273,49,40
E00133288,143,84
E00133289,114,100
E00133290,59,51
E00133291,132,114
E00133292,109,82
E00133293,140,96
E00133294,118,108
E00133305,99,76
E00133307,108,77
E00133316,160,140
E00133326,158,125
E00133358,131,98
E00133359,142,93
E00133360,121,111
E00133361,127,90
E00133362,128,117
E00133363,145,105
E00133364,116,21
E00133365,125,84
E00133366,140,113
E00133367,117,108
E00133368,107,50
E00133369,90,66
E00133370,119,105
E00133371,120,99
E00133372,134,124
E00133373,120,111
E00133374,133,120
E00133375,127,112
E00133376,65,53
E00133377,168,58
E00133378,114,71
E00133379,122,110
E00133380,171,147
E00133381,134,123
E00133382,234,135
E00133383,115,69
E00133384,176,70
E00133385,145,131
E00133386,184,163
E00133388,132,110
E00133389,122,101
E00133390,137,93
E00133391,125,88
E00133392,123,112
E00133393,114,101
E00133394,168,99
E00133395,124,103
E00133396,121,58
E00133397,116,73
E00133398,140,108
E00133399,119,109
E00133400,130,105
E00133401,129,72
E00133402,130,88
E00133403,147,61
E00133404,211,110
E00133405,138,61
E00133406,156,94
E00133407,164,91
E00133409,114,101
E00133410,197,109
E00133411,238,206
E00133412,131,103
E00133413,141,118
E00133414,121,65
E00133415,138,109
E00133416,135,76
E00133417,128,110
E00133418,126,87
E00133419,128,120
E00133420,148,131
E00133421,161,39
E00133422,131,22
E00133423,95,85
E00133424,122,70
E00133425,229,164
E00133426,138,110
E00133427,119,107
E00133428,153,99
E00133429,126,26
E00133430,130,39
E00133431,153,62
E00133432,174,76
E00133433,139,26
E00133434,140,48
E00133435,150,87
E00133436,144,110
E00133437,137,71
E00133438,127,118
E00133439,204,144
E00133440,151,71
E00133441,131,37
E00133442,119,105
E00133443,156,132
E00133444,154,111
E00133446,144,106
E00133447,162,137
E00133448,122,113
E00133449,129,57
E00133450,157,106
E00133451,123,96
E00133452,138,124
E00133453,202,173
E00133454,155,108
E00133455,140,105
E00133456,117,105
E00133457,175,155
E00133458,93,78
E00133459,141,108
E00133460,148,114
E00133461,128,85
E00133462,143,130
E00133463,144,128
E00133486,193,171
E00133487,119,78
E00133488,113,106
E00133489,52,39
E00133490,144,114
E00133491,120,67
E00133492,147,124
E00133493,165,150
E00133494,165,146
E00133495,144,94
E00133496,169,143
E00133497,158,129
E00133498,122,84
E00133499,123,112
E00133500,156,135
E00133501,126,40
E00133502,126,113
E00133503,131,112
E00133504,125,97
E00133505,160,121
E00133506,190,150
E00133507,112,91
E00133508,136,93
E00133509,154,130
E00133510,154,86
E00133511,116,112
E00133512,115,88
E00133513,130,110
E00133531,69,52
E00133534,120,98
E00133535,109,70
E00133907,125,83
E00133908,187,147
E00133909,152,103
E00133910,127,66
E00133913,187,127
E00133914,152,127
E00133915,140,129
E00133918,136,121
E00133921,132,124
E00133922,120,111
E00133923,138,121
E00169383,123,77
E00169384,88,73
E00169385,126,74
E00169386,114,99
E00169387,108,78
E00169388,110,54
E00169389,81,24
E00169390,120,65
E00169391,111,59
E00169392,125,115
E00169393,125,100
E00169394,126,70
