areacd,total,value
E00008154,189,38
E00008155,131,25
E00008156,105,8
E00008158,133,14
E00008188,125,16
E00008189,122,30
E00008302,126,23
E00008305,143,70
E00016395,115,20
E00016397,210,66
E00016398,111,18
E00016402,128,22
E00016403,142,8
E00016404,120,37
E00016405,138,45
E00016407,146,41
E00016408,68,28
E00016409,146,8
E00016410,112,52
E00016411,172,38
E00016412,151,34
E00016413,126,24
E00016414,144,35
E00016415,140,16
E00016416,104,10
E00016417,138,27
E00016419,118,12
E00016420,121,12
E00016421,125,7
E00016422,111,11
E00016423,122,24
E00016424,123,11
E00016426,134,20
E00016427,105,8
E00016431,110,19
E00016432,160,30
E00016433,140,28
E00016434,167,17
E00016436,101,24
E00016437,159,20
E00016438,132,45
E00016439,178,8
E00016440,108,14
E00016441,204,23
E00016442,139,14
E00016722,150,16
E00016724,110,39
E00020298,135,75
E00020415,169,64
E00020416,167,95
E00020417,158,67
E00020418,110,25
E00020419,131,61
E00020421,135,31
E00020422,129,82
E00020423,111,25
E00020424,116,46
E00020425,155,42
E00020426,122,63
E00020427,193,104
E00020428,123,53
E00020429,128,68
E00020431,122,15
E00020432,150,33
E00020433,83,3
E00020434,128,66
E00020435,156,89
E00020436,109,45
E00020437,152,90
E00020439,151,5
E00020440,149,56
E00020442,117,28
E00020443,197,81
E00020444,219,75
E00020445,127,26
E00020446,159,65
E00020447,131,17
E00020448,106,9
E00020449,126,54
E00020450,133,81
E00020451,144,84
E00020452,102,50
E00020453,146,76
E00020454,104,52
E00020455,151,5
E00021218,201,92
E00021219,107,50
E00021220,181,67
E00021223,195,56
E00021224,168,59
E00021225,152,23
E00021227,118,51
E00021228,135,57
E00021229,116,15
E00021230,128,65
E00021231,122,21
E00021238,181,71
E00021239,147,53
E00021240,162,54
E00021241,116,63
E00021243,147,16
E00021244,148,10
E00021245,113,40
E00021246,182,30
E00021247,115,16
E00021248,136,14
E00021249,122,5
E00021251,114,34
E00021252,126,52
E00021253,144,19
E00021254,109,43
E00021255,109,58
E00021256,107,39
E00021257,102,51
E00021258,134,32
E00021259,134,38
E00021422,87,6
E00021425,133,67
E00021426,109,12
E00021427,124,52
E00021510,121,46
E00021511,109,37
E00021516,106,26
E00021517,136,33
E00021518,151,29
E00021519,200,73
E00021520,97,35
E00021521,98,42
E00021522,136,13
E00021524,194,35
E00021525,134,44
E00021526,169,60
E00021527,145,51
E00021528,94,39
E00021529,116,11
E00021531,186,41
E00021532,138,62
E00021533,141,70
E00021534,127,50
E00021535,115,46
E00021536,118,53
E00021537,163,76
E00021538,309,136
E00021539,138,46
E00021541,139,38
E00021542,106,40
E00021543,142,57
E00021544,83,47
E00021546,102,42
E00021547,115,29
E00021549,128,26
E00021550,150,18
E00021552,99,28
E00021553,119,11
E00021554,127,35
E00021555,145,18
E00021556,147,57
E00021557,172,63
E00167079,116,14
E00167080,145,43
E00167081,120,58
E00167108,165,43
E00167109,124,28
E00167110,124,36
E00167111,149,22
E00167112,403,86
E00167113,165,14
E00167114,140,26
E00167115,386,56
E00167116,112,26
E00167117,50,21
E00167118,137,41
E00167119,137,49
E00167120,139,14
E00167121,139,40
E00167122,125,32
E00167129,321,50
E00167130,466,148
E00167131,63,3
E00167132,289,37
E00167133,82,25
E00167134,137,74
E00167135,130,52
E00167137,135,31
E00167139,212,28
E00167142,216,92
E00167145,103,22
E00167146,161,55
E00167147,109,4
E00167148,119,18
E00167149,82,12
E00167150,209,37
E00167151,239,42
E00167152,117,25
E00167153,129,14
E00167157,190,46
E00167158,162,40
E00167159,119,51
E00167160,118,19
E00167162,189,38
E00167163,119,36
E00167164,56,8
E00167165,133,48
E00167170,82,39
E00167180,120,9
E00167182,66,8
E00167183,67,38
E00167220,135,39
E00167248,256,42
E00167249,234,38
E00167250,102,4
E00167262,46,24
E00167488,127,37
E00167489,151,68
E00173943,164,20
E00173946,185,46
E00173947,123,4
E00173948,171,8
E00176497,111,33
E00176500,92,44
E00176505,130,13
E00176535,85,12
E00176547,92,29
E00176554,137,46
E00176560,181,85
E00176579,85,31
E00176590,62,40
