areacd,total,value
E00056977,88,70
E00057126,125,28
E00057128,114,104
E00057129,103,26
E00057130,140,38
E00057131,129,19
E00057132,119,45
E00057135,133,62
E00057136,133,110
E00057142,74,21
E00057144,98,34
E00057146,129,10
E00057147,124,6
E00057153,164,53
E00057159,107,23
E00057160,122,74
E00057162,115,57
E00057166,135,9
E00057167,132,17
E00057170,205,63
E00057179,224,181
E00057180,90,17
E00057181,139,8
E00057183,112,4
E00057184,80,71
E00057185,102,33
E00057187,153,129
E00057488,106,77
E00057489,111,96
E00057490,135,113
E00057491,128,112
E00057492,129,85
E00057493,141,87
E00057494,122,98
E00057495,133,127
E00057503,168,108
E00057504,149,141
E00057505,123,119
E00057506,122,97
E00057507,115,110
E00057508,107,103
E00057509,129,107
E00057510,112,107
E00057511,113,97
E00057512,115,111
E00057513,124,102
E00057514,108,79
E00057515,118,64
E00057516,100,91
E00057517,124,116
E00057518,121,105
E00057519,133,121
E00057520,115,99
E00057521,107,101
E00057522,111,95
E00057523,124,114
E00057524,122,114
E00057525,127,120
E00057526,146,126
E00057561,130,116
E00057562,136,121
E00057563,108,102
E00057566,125,107
E00057578,130,72
E00057582,110,47
E00057619,145,57
E00057620,135,113
E00057621,149,84
E00057622,105,94
E00057623,115,55
E00057624,105,65
E00057625,136,120
E00057627,107,62
E00058589,127,58
E00058674,129,55
E00058699,139,125
E00058702,119,7
E00058706,114,85
E00058707,137,99
E00058712,133,103
E00058737,44,43
E00058741,63,12
E00058742,125,117
E00058743,116,15
E00058744,137,16
E00058745,125,19
E00058746,103,13
E00058747,117,112
E00058748,93,15
E00058749,134,46
E00058750,115,53
E00058751,115,13
E00058752,147,19
E00058753,141,37
E00058754,124,46
E00058755,129,32
E00058756,92,20
E00058757,135,66
E00058759,89,21
E00058760,113,9
E00058761,71,21
E00058762,126,19
E00058764,124,78
E00058765,121,91
E00058766,134,8
E00058767,129,111
E00058768,131,38
E00058769,149,37
E00058770,121,56
E00058771,127,117
E00058772,100,90
E00058773,111,46
E00058774,121,45
E00058775,109,63
E00058776,146,36
E00058777,99,75
E00058778,121,33
E00058779,109,42
E00058780,150,63
E00058781,136,15
E00058782,128,47
E00058783,122,46
E00058784,158,14
E00058785,141,3
E00058786,75,31
E00058787,131,55
E00058788,165,2
E00058789,122,61
E00058790,139,31
E00058791,134,61
E00058792,126,74
E00058793,131,58
E00058794,141,70
E00058795,138,78
E00058796,113,50
E00058797,125,74
E00058798,96,46
E00058799,115,35
E00059048,119,63
E00059049,123,64
E00059050,138,53
E00059051,221,43
E00059052,117,66
E00059053,122,56
E00059054,133,120
E00059055,122,104
E00059056,118,67
E00059057,135,121
E00059058,121,83
E00059059,116,109
E00059060,115,101
E00059061,131,24
E00059062,113,76
E00059063,127,73
E00059064,124,101
E00059065,140,83
E00059066,129,49
E00059067,107,48
E00059068,137,110
E00059069,112,66
E00059070,111,103
E00059071,110,65
E00059072,132,77
E00059073,114,61
E00059074,119,41
E00059075,117,69
E00059076,127,53
E00059077,120,19
E00059078,103,52
E00059079,55,10
E00059080,121,76
E00059081,120,61
E00059082,185,111
E00059083,123,68
E00059084,124,64
E00059085,120,61
E00059086,97,45
E00059087,122,71
E00059088,133,75
E00059089,118,54
E00059090,169,73
E00059091,151,88
E00059092,168,67
E00059093,118,37
E00059094,130,120
E00059095,122,112
E00059096,127,84
E00059097,122,117
E00059098,50,49
E00059099,118,53
E00059100,96,93
E00059101,119,109
E00059102,144,136
E00059103,129,122
E00059104,117,97
E00059105,123,111
E00165681,145,42
E00165682,95,81
E00170270,104,29
E00170586,115,22
E00170606,168,113
