areacd,total,value
W00000231,142,110
W00000232,144,99
W00000233,70,54
W00000234,136,83
W00000235,196,156
W00000241,158,80
W00000242,140,60
W00000243,133,40
W00000244,178,82
W00000245,144,65
W00000246,139,129
W00000247,121,51
W00000248,99,77
W00000249,133,83
W00000263,137,93
W00000284,96,76
W00000285,103,86
W00000286,133,93
W00000287,69,46
W00000288,93,67
W00000289,141,114
W00000290,141,97
W00000291,147,129
W00000292,175,133
W00000304,178,128
W00000305,149,89
W00000306,145,96
W00000307,152,122
W00000341,107,76
W00000342,123,89
W00000343,131,110
W00000344,125,83
W00000345,106,37
W00000346,144,104
W00000347,132,58
W00000348,161,140
W00000349,135,49
W00000350,116,62
W00000351,121,103
W00000352,121,97
W00000353,130,113
W00000354,131,79
W00000355,129,76
W00000356,119,108
W00000382,138,107
W00000383,141,103
W00000384,127,76
W00000385,107,90
W00000386,163,122
W00000387,135,110
W00000405,117,78
W00000406,176,118
W00000407,79,71
W00000408,156,131
W00000427,128,107
W00000428,124,74
W00000429,131,100
W00000430,150,106
W00000431,142,92
W00000432,120,81
W00000433,116,103
W00000434,67,49
W00000445,107,87
W00000446,148,107
W00000447,134,114
W00000590,140,84
W00000591,142,116
W00000592,141,121
W00000603,136,62
W00000604,75,56
W00000605,102,19
W00000606,125,104
W00000607,126,74
W00000608,116,103
W00000609,133,86
W00000610,146,88
W00000611,137,58
W00000612,123,78
W00000613,136,127
W00000614,133,106
W00000615,113,81
W00002288,120,94
W00002289,142,131
W00002290,106,77
W00002311,172,116
W00002312,157,136
W00002352,121,92
W00002353,113,75
W00002354,129,102
W00002355,127,89
W00002356,127,110
W00002357,140,102
W00002358,133,111
W00002409,132,117
W00002410,127,89
W00002411,138,118
W00002516,130,76
W00002517,131,71
W00002518,130,43
W00002519,139,59
W00002520,121,72
W00002521,123,100
W00002522,130,84
W00002523,129,57
W00002778,118,64
W00002779,106,46
W00002780,118,71
W00002783,57,49
W00002792,145,111
W00002793,149,101
W00002794,130,103
W00002795,127,100
W00002796,141,116
