areacd,total,value
E00087758,135,92
E00087759,154,105
E00087760,147,109
E00087761,182,157
E00087762,123,103
E00087763,127,97
E00087764,136,55
E00087765,124,87
E00087767,126,104
E00087768,130,99
E00087769,101,24
E00087770,126,86
E00087771,121,36
E00087772,207,152
E00087773,152,97
E00087833,82,69
E00087834,136,118
E00087835,142,119
E00087836,127,115
E00087837,159,144
E00087838,141,110
E00087839,120,38
E00087840,119,111
E00087841,135,83
E00087842,160,102
E00087843,150,133
E00087844,143,124
E00087845,113,101
E00087846,114,102
E00087934,176,143
E00087935,133,95
E00087936,154,101
E00087937,118,89
E00087938,195,104
E00087939,158,140
E00087940,128,111
E00087941,152,131
E00087942,133,118
E00087948,151,127
E00088058,133,107
E00088059,119,101
E00088060,139,42
E00088061,149,135
E00088062,236,178
E00088063,116,108
E00088064,145,82
E00088065,140,66
E00088066,139,111
E00088067,140,55
E00088068,121,67
E00088069,128,119
E00088070,164,113
E00088071,123,29
E00088072,122,98
E00088073,227,103
E00088074,117,102
E00088076,146,105
E00088077,117,10
E00088084,127,115
E00088086,120,102
E00088087,131,67
E00088088,177,140
E00088089,157,134
E00088095,100,65
E00088096,120,74
E00088097,126,111
E00088098,126,108
E00088099,121,83
E00088100,120,102
E00088101,135,76
E00088102,132,104
E00088103,115,102
E00088104,131,106
E00088105,124,90
E00088107,131,122
E00088108,122,68
E00088109,178,135
E00088110,125,113
E00088111,129,123
E00088112,125,90
E00088114,177,119
E00088115,47,45
E00088116,142,98
E00119175,110,76
E00119176,134,104
E00119177,135,127
E00119178,125,112
E00119179,148,126
E00119180,127,113
E00119181,135,118
E00119182,130,112
E00119183,128,93
E00119184,132,127
E00119185,146,98
E00119186,119,58
E00119187,112,62
E00119188,136,126
E00119189,125,106
E00119190,130,121
E00119191,57,45
E00119192,114,98
E00119193,122,95
E00119194,120,92
E00119195,121,105
E00119196,118,88
E00119197,121,98
E00119198,131,52
E00119282,147,95
E00119285,69,33
E00119286,114,72
E00119334,96,70
E00119335,100,88
E00119336,79,32
E00119337,79,58
E00119338,118,82
E00119339,123,111
E00119340,118,59
E00119341,139,120
E00119342,127,72
E00119394,122,93
E00119399,129,92
E00119401,156,136
E00119402,143,111
E00119403,150,115
E00119404,111,60
E00119405,127,91
E00119406,121,109
E00119407,153,136
E00119408,69,37
E00119409,101,37
E00119410,158,128
E00119411,140,89
E00119469,130,57
E00119470,123,81
E00119471,143,115
E00119472,152,102
E00119473,134,73
E00119474,147,109
E00119475,142,119
E00119782,126,100
E00119783,126,81
E00119784,142,93
E00119785,145,99
E00119786,125,100
E00119787,124,99
E00119788,105,87
E00119789,126,96
E00119790,92,36
E00119791,171,153
E00119792,118,111
E00119793,111,94
E00119794,116,87
E00119795,129,107
E00119796,139,119
E00119797,130,103
E00119798,127,98
E00119799,142,87
E00119800,93,41
E00119801,165,149
E00119802,126,106
E00119803,116,98
E00119804,120,90
E00119805,134,110
E00119806,119,65
E00119807,92,77
E00119808,115,40
E00119809,112,62
E00119810,118,51
E00119811,111,61
E00119812,149,67
E00119813,121,84
E00119814,116,72
E00119815,174,144
E00119816,125,93
E00119817,155,82
E00119818,132,83
E00119819,127,101
E00119820,142,93
E00119821,156,64
E00119822,130,41
E00119823,129,78
E00119824,115,45
E00119825,160,85
E00119826,127,27
E00119827,134,104
E00119828,133,48
E00119829,141,119
E00119830,153,124
E00119831,124,99
E00119832,151,114
E00119833,127,83
E00119834,123,74
E00119835,142,90
E00119836,128,88
E00119837,141,127
E00119838,119,80
E00119839,123,80
E00119840,117,100
E00119845,65,50
E00119847,131,92
E00119848,112,90
E00119849,52,13
E00119850,45,32
E00119853,183,166
E00119854,92,71
E00119855,104,46
E00119857,112,45
E00119858,139,109
E00119859,148,111
E00119860,71,43
E00119861,140,78
E00119862,132,88
E00119864,132,84
E00119865,229,108
E00119866,135,113
E00119867,125,39
E00119868,127,70
E00119869,119,106
E00119870,207,76
E00119871,135,109
E00119872,134,107
E00119873,111,91
E00119874,129,26
E00119875,135,114
E00119876,131,107
E00119877,117,91
E00119878,118,91
E00119879,141,95
E00119880,120,97
E00119881,130,88
E00119882,123,56
E00119883,126,82
E00119884,178,68
E00119885,108,59
E00119886,114,93
E00119887,195,137
E00119888,126,35
E00119889,114,108
E00119890,117,114
E00119891,126,118
E00119892,132,112
E00119893,133,68
E00119894,131,120
E00119895,141,103
E00119896,189,99
E00119897,123,100
E00119898,117,98
E00119899,109,101
E00119900,152,85
E00119901,129,93
E00119902,124,112
E00119903,118,100
E00119904,139,131
E00119905,125,111
E00119906,185,119
E00119907,111,108
E00119908,132,94
E00119909,134,124
E00119910,140,99
E00119911,148,120
E00119912,107,68
E00119913,100,91
E00119914,112,84
E00119915,135,69
E00119916,143,75
E00119917,121,52
E00119918,134,15
E00119919,134,85
E00119920,118,12
E00119921,132,74
E00119922,131,103
E00119923,114,14
E00119924,127,28
E00119925,127,30
E00119926,143,44
E00119927,199,149
E00119928,127,109
E00119930,127,116
E00119931,128,117
E00119932,253,112
E00119933,131,118
E00119934,104,38
E00119935,128,116
E00119936,136,123
E00119937,147,129
E00119938,138,114
E00119939,144,121
E00119940,125,78
E00119941,90,81
E00119942,117,114
E00119943,117,111
E00119944,125,103
E00119945,124,99
E00119946,124,45
E00119947,121,74
E00119948,111,57
E00119949,111,101
E00119950,106,86
E00119951,107,42
E00119952,119,62
E00119953,129,120
E00119954,123,76
E00119955,118,66
E00119956,130,123
E00119957,116,84
E00119958,137,110
E00119959,132,111
E00119960,211,85
E00119961,126,81
E00119962,131,97
E00119963,126,113
E00119964,125,46
E00119965,138,62
E00119966,144,114
E00119967,139,54
E00119968,50,42
E00119969,115,77
E00119970,151,105
E00119971,139,54
E00119972,67,48
E00119973,147,106
E00119974,139,60
E00119975,119,62
E00119976,124,94
E00119978,130,82
E00119979,138,108
