areacd,total,value
E00012174,106,50
E00012175,125,58
E00012177,120,54
E00012179,93,20
E00012181,134,55
E00012183,115,45
E00012184,128,103
E00012185,128,84
E00012188,144,91
E00012190,144,59
E00012191,120,66
E00012192,130,74
E00012194,119,34
E00012198,120,39
E00012202,132,62
E00012203,139,97
E00012204,111,21
E00012205,107,90
E00012206,111,90
E00012207,126,37
E00012208,106,15
E00012388,220,76
E00012389,125,69
E00012395,113,71
E00012566,130,46
E00012567,128,67
E00012568,126,72
E00012569,133,96
E00012570,129,92
E00012571,129,77
E00012572,127,49
E00012573,150,101
E00012574,113,96
E00012575,140,86
E00012576,121,36
E00012577,130,42
E00012578,131,64
E00012579,126,49
E00012580,111,41
E00012581,96,68
E00012584,131,121
E00012585,126,41
E00012587,119,106
E00012590,157,87
E00012591,133,45
E00012592,136,83
E00012593,116,63
E00012594,110,65
E00012595,138,51
E00012596,120,77
E00012597,142,65
E00012599,139,112
E00012600,138,75
E00012601,153,26
E00012602,134,87
E00012603,146,80
E00012736,133,69
E00083215,129,62
E00083216,136,36
E00083221,150,38
E00083224,137,37
E00083225,135,88
E00083226,163,72
E00083227,139,111
E00083228,132,60
E00083229,166,52
E00083230,148,87
E00089956,155,131
E00089958,132,80
E00089959,136,129
E00089960,126,121
E00089961,118,111
E00156776,118,43
E00156781,141,77
E00156782,126,117
E00156783,112,50
E00156784,100,15
E00156785,150,58
E00156786,131,34
E00156787,126,110
E00156788,157,79
E00156789,118,59
E00156793,117,96
E00156795,147,85
E00156796,147,105
E00156797,139,115
E00156798,135,89
E00156799,123,76
E00156800,115,80
E00156801,126,95
E00176468,110,63
E00176469,107,22
E00176470,259,49
E00176471,113,56
E00176472,111,65
E00176473,119,27
