areacd,total,value
E00085919,124,87
E00085922,203,64
E00085925,160,105
E00085926,123,85
E00085927,111,103
E00085928,114,101
E00085929,170,110
E00085930,138,127
E00085931,104,54
E00085946,140,131
E00085948,128,104
E00085955,121,111
E00085958,179,142
E00085959,96,16
E00085960,166,152
E00086064,122,76
E00086066,133,111
E00086067,129,97
E00086100,127,118
E00086101,129,103
E00086102,140,120
E00086138,121,26
E00086142,115,27
E00086146,137,111
E00086147,123,103
E00086148,125,122
E00086149,121,99
E00086150,135,126
E00086151,136,128
E00086152,126,116
E00086154,149,132
E00086155,121,107
E00086156,132,98
E00086157,128,97
E00086158,138,133
E00086159,125,16
E00086160,137,128
E00086162,119,106
E00086163,126,125
E00086164,147,138
E00086165,127,125
E00086166,125,115
E00086167,126,115
E00086170,123,111
E00086171,106,88
E00086173,117,109
E00086174,128,101
E00086175,131,118
E00086176,125,104
E00086177,173,109
E00086178,116,89
E00086180,130,112
E00086181,130,115
E00086182,130,115
E00086183,146,105
E00086184,210,126
E00086185,140,29
E00086186,218,126
E00086188,98,41
E00086189,131,78
E00086191,125,65
E00086205,103,60
E00086206,121,34
E00086207,113,5
E00086208,139,112
E00086209,144,97
E00086210,114,91
E00086322,172,142
E00086323,129,112
E00086324,118,104
E00086325,139,106
E00086326,139,108
E00086327,130,86
E00086333,152,97
E00086350,111,30
E00086351,137,112
E00086356,121,109
E00086363,122,83
E00114828,133,94
E00114829,138,133
E00114830,118,78
E00114831,112,81
E00114832,91,84
E00114833,134,123
E00114834,116,112
E00114835,122,120
E00114836,134,130
E00114837,149,137
E00114838,117,90
E00114839,128,118
E00114840,127,113
E00114841,124,109
E00114842,98,69
E00114843,44,33
E00114844,98,75
E00114921,93,81
E00114922,127,121
E00114923,125,117
E00114924,91,80
E00114925,116,112
E00114926,143,128
E00114927,136,127
E00114928,112,75
E00114929,133,114
E00114930,135,126
E00114931,133,120
E00114932,131,126
E00114933,128,111
E00114934,128,119
E00114935,119,44
E00114936,130,118
E00114937,120,117
E00114938,114,106
E00114941,128,101
E00114942,114,90
E00114943,174,147
E00114944,114,112
E00114945,107,39
E00114946,116,102
E00114947,128,123
E00114949,136,128
E00114950,129,111
E00114951,122,93
E00114952,161,118
E00114953,118,108
E00114954,121,112
E00114955,118,109
E00114956,122,50
E00114957,133,124
E00114958,145,122
E00114959,133,80
E00114960,108,39
E00114961,114,99
E00114962,119,101
E00115041,118,77
E00115042,135,107
E00115043,125,114
E00115044,129,123
E00115045,126,80
E00115046,126,96
E00115047,112,97
E00115048,135,109
E00115049,132,82
E00116356,111,59
E00116357,129,77
E00116358,166,100
E00116359,141,87
E00116360,119,72
E00116361,129,69
E00116362,134,69
E00116363,124,70
E00116364,135,88
E00116365,116,40
E00116366,125,89
E00116367,141,97
E00116368,227,111
E00116369,131,73
E00116370,144,81
E00116371,126,78
E00116372,139,74
E00116373,131,71
E00116374,144,71
E00116375,124,93
E00116376,117,81
E00116377,102,52
E00116378,101,37
E00116379,102,50
E00116380,121,62
E00116381,149,62
E00116382,160,47
E00116383,139,57
E00116384,141,58
E00116385,121,21
E00116386,155,48
E00116387,191,43
E00116388,135,80
E00116389,129,8
E00116390,148,94
E00116391,130,20
E00116392,149,81
E00116393,135,78
E00116394,123,64
E00116395,119,72
E00116396,127,109
E00116397,133,101
E00116398,132,75
E00116399,126,109
E00116400,123,94
E00116401,126,110
E00116402,142,121
E00116403,139,112
E00116404,125,109
E00116405,114,108
E00116406,129,85
E00116407,120,109
E00116408,141,129
E00116410,113,86
E00116411,118,108
E00116412,136,101
E00116413,126,79
E00116414,113,72
E00116415,108,40
E00116416,125,111
E00116417,127,85
E00116418,155,148
E00116419,129,120
E00116420,124,116
E00116421,126,87
E00116422,116,105
E00116423,125,80
E00116424,137,77
E00116425,127,76
E00116426,137,107
E00116427,119,43
E00116428,135,52
E00116429,136,53
E00116430,127,81
E00116431,138,87
E00116432,119,78
E00116433,125,82
E00116434,128,79
E00116435,130,77
E00116436,168,10
E00116437,126,72
E00116438,141,69
E00116439,132,54
E00116440,133,60
E00116441,114,46
E00116442,131,52
E00116443,122,58
E00116444,122,35
E00116445,138,63
E00116446,132,57
E00116447,130,118
E00116448,134,117
E00116449,126,108
E00116450,114,93
E00116451,131,100
E00116452,148,53
E00116453,116,103
E00116454,132,120
E00116455,130,125
E00116456,137,110
E00116457,136,128
E00116458,120,93
E00116459,149,106
E00116460,133,115
E00116461,127,84
E00116462,146,111
E00116463,157,93
E00116464,133,128
E00116465,136,126
E00116467,133,95
E00116468,124,116
E00116469,172,159
E00116470,115,83
E00116472,130,125
E00116473,114,100
E00116474,115,110
E00116475,124,120
E00116476,131,123
E00116477,132,105
E00116478,160,127
E00116479,135,126
E00116480,145,87
E00116481,139,135
E00116482,132,120
E00116483,142,128
E00116484,115,72
E00116485,130,110
E00116486,118,48
E00116487,132,110
E00116488,144,124
E00116489,155,90
E00116490,146,124
E00116491,139,107
E00116492,118,104
E00116493,118,107
E00116494,133,95
E00116495,117,83
E00116496,108,94
E00116497,132,107
E00116498,124,108
E00116499,131,122
E00116500,105,58
E00116501,132,75
E00116502,133,127
E00116503,134,112
E00116504,161,110
E00116505,138,57
E00116506,119,81
E00116507,111,29
E00116508,134,106
E00116509,117,91
E00116510,141,133
E00116511,140,111
E00116512,176,41
E00116513,146,38
E00116514,217,69
E00116515,132,67
E00116516,141,14
E00116517,168,26
E00116518,133,66
E00116519,129,39
E00116520,136,125
E00116521,140,38
E00116522,123,86
E00116523,132,111
E00116524,131,102
E00116525,116,108
E00116526,130,86
E00116527,132,110
E00116528,113,107
E00116529,122,115
E00116530,132,125
E00116531,112,110
E00116532,125,115
E00116533,127,123
E00116534,134,129
E00116535,131,121
E00116536,125,115
E00116537,141,132
E00116538,120,113
E00116539,121,109
E00116541,225,174
E00116542,121,110
E00116543,223,148
E00116544,160,143
E00116545,139,114
E00116546,169,90
E00116547,161,108
E00116548,96,85
E00116549,60,51
E00116550,148,98
E00116551,177,77
E00116552,140,129
E00116553,123,111
E00116554,118,53
E00116555,133,118
E00116556,124,108
E00116557,147,132
E00116558,102,87
E00116559,152,135
E00116560,112,99
E00116561,125,87
E00116562,133,110
E00116563,140,122
E00116564,144,127
E00116565,132,123
E00116566,98,22
E00116567,137,114
E00116568,149,87
E00116569,127,107
E00116570,104,89
E00116571,126,117
E00116572,138,125
E00116573,138,110
E00116574,131,122
E00116575,137,113
E00116576,128,123
E00116577,144,137
E00116578,126,115
E00116579,145,126
E00116580,109,90
E00116581,126,122
E00116582,137,100
E00116583,123,107
E00116584,134,111
E00116585,123,117
E00116586,145,116
E00116587,121,86
E00116588,132,126
E00116589,134,93
E00116590,119,112
E00116591,151,119
E00116592,120,106
E00116593,135,98
E00116594,122,108
E00116595,111,96
E00116596,151,62
E00116597,119,28
E00116598,136,65
E00116599,179,59
E00116600,124,118
E00116601,140,134
E00116602,133,62
E00116603,121,114
E00116604,148,137
E00116605,130,36
E00116606,125,114
E00116607,128,123
E00116608,122,53
E00116609,114,108
E00116610,115,75
E00116611,134,128
E00116612,124,109
E00116613,144,86
E00116614,138,131
E00116615,120,97
E00116616,105,100
E00116617,110,102
E00116618,147,116
E00116619,121,118
E00116620,122,111
E00116621,126,115
E00116622,140,100
E00116623,134,115
E00116624,119,106
E00116625,145,47
E00116626,125,110
E00116627,152,134
E00116628,134,121
E00116629,112,47
E00116630,130,121
E00116631,133,130
E00116632,127,122
E00116633,137,108
E00116634,123,110
E00116635,140,123
E00116636,157,107
E00116637,148,122
E00116638,118,55
E00116639,122,107
E00116640,136,93
E00116641,143,122
E00116642,120,85
E00116643,134,86
E00116644,118,113
E00116645,120,106
E00116646,128,60
E00116647,121,115
E00116648,134,102
E00116649,132,114
E00116650,199,62
E00116651,160,104
E00116652,149,97
E00116653,125,110
E00116654,111,104
E00116655,242,129
E00116656,145,120
E00116657,94,89
E00116658,123,68
E00116659,131,84
E00116660,114,95
E00116661,202,55
E00116662,122,73
E00116663,112,100
E00116664,121,69
E00116665,111,106
E00116666,130,99
E00116667,132,72
E00116668,135,25
E00116669,118,76
E00116670,135,126
E00116671,127,85
E00116672,129,64
E00116673,135,58
E00116674,132,84
E00116675,127,122
E00116676,129,57
E00116677,138,73
E00116678,126,19
E00116679,141,67
E00116680,136,81
E00116681,143,63
E00116682,125,84
E00116683,126,73
E00116684,140,38
E00116685,127,99
E00116686,131,99
E00116687,122,105
E00116688,115,86
E00116689,127,85
E00116690,126,6
E00116691,117,66
E00116692,127,14
E00116693,128,15
E00116694,142,39
E00116695,128,21
E00116696,235,137
E00116697,115,81
E00116699,126,72
E00116700,130,58
E00116701,130,61
E00116702,124,90
E00116703,139,40
E00116704,129,66
E00116705,129,44
E00116706,124,41
E00116707,133,25
E00116708,125,66
E00116709,140,45
E00116710,151,36
E00116711,137,133
E00116712,133,104
E00116713,158,121
E00116714,136,131
E00116715,144,121
E00116716,119,119
E00116717,125,103
E00116718,130,122
E00116719,134,125
E00116720,133,107
E00116721,136,132
E00116722,111,78
E00116723,140,73
E00116724,128,72
E00116725,115,93
E00116726,112,87
E00116727,125,98
E00116728,115,103
E00116729,111,107
E00116730,116,108
E00116731,127,120
E00116732,121,84
E00116733,121,110
E00116734,210,106
E00116735,125,46
E00116736,134,87
E00116737,123,119
E00116738,113,61
E00116739,119,116
E00116740,151,122
E00116741,156,64
E00118042,153,114
E00118049,157,143
E00159996,135,119
E00160000,121,115
E00160001,125,114
E00160002,114,100
E00160004,120,110
E00160005,137,128
E00160007,128,119
E00160014,128,114
E00160015,153,141
E00160016,127,117
E00160017,132,104
E00160018,131,57
E00160019,124,119
E00160020,129,101
E00160021,121,92
E00160022,133,128
E00160023,123,108
E00160024,122,31
E00160025,124,121
E00160026,122,100
E00160027,122,120
E00160028,121,113
E00160029,127,114
E00160030,115,105
E00160031,128,107
E00160348,175,120
E00160349,128,85
E00160350,122,112
E00160351,120,114
E00160352,125,91
E00160353,132,116
E00160354,140,120
E00160355,126,101
E00160356,132,112
E00160357,120,112
E00160358,116,110
E00160359,212,187
E00160360,117,104
E00160361,122,112
E00160362,135,123
E00160363,139,136
E00160364,123,108
E00160365,122,80
E00160366,155,121
E00160367,126,120
