areacd,total,value
E00094659,124,106
E00094671,112,21
E00094672,128,82
E00094673,133,101
E00094675,102,85
E00102910,175,142
E00102911,125,88
E00102912,115,81
E00102913,67,58
E00102914,180,147
E00102942,184,148
E00102962,153,109
E00102963,119,61
E00102965,174,151
E00102966,170,145
E00102967,58,41
E00102968,136,122
E00102969,167,146
E00102970,130,112
E00102973,130,75
E00102974,114,94
E00102976,171,133
E00102993,106,86
E00102995,110,83
E00103001,130,66
E00103003,133,90
E00103004,46,39
E00103005,92,77
E00103006,108,83
E00103007,176,139
E00103008,150,95
E00103010,125,102
E00103011,170,115
E00103013,163,132
E00103014,144,61
E00103015,128,84
E00103016,130,80
E00103017,142,126
E00103018,137,90
E00103019,120,87
E00103020,128,67
E00103021,133,119
E00103023,130,105
E00103024,137,123
E00103025,130,68
E00103026,150,73
E00103027,123,48
E00103028,133,130
E00103029,113,109
E00103030,122,100
E00103031,121,104
E00103032,109,88
E00103033,109,82
E00103034,136,107
E00103035,118,69
E00103036,122,79
E00103037,130,124
E00103038,168,152
E00103039,121,62
E00103040,110,99
E00103041,120,114
E00103042,162,114
E00103043,142,67
E00103044,149,79
E00103045,154,123
E00103047,168,126
E00103048,130,70
E00103049,139,93
E00103050,124,90
E00103051,125,109
E00103052,186,147
E00103057,81,67
E00103066,48,37
E00103067,100,78
E00103068,108,95
E00165946,126,75
E00165949,128,47
E00165950,126,41
E00165951,136,120
E00165953,129,58
E00165954,105,78
E00165956,91,30
E00165958,125,98
