areacd,total,value
E00060255,170,108
E00060256,135,75
E00060257,127,93
E00060258,118,58
E00060259,118,61
E00060260,73,53
E00060261,149,42
E00060262,108,47
E00060263,128,81
E00060264,119,64
E00060265,111,47
E00060266,125,48
E00060267,125,54
E00060268,125,49
E00060269,122,73
E00060270,143,120
E00060271,136,57
E00060272,118,31
E00060273,149,64
E00060274,118,57
E00060275,121,59
E00060276,118,78
E00060277,114,46
E00060278,120,30
E00060279,134,86
E00060280,222,166
E00060281,124,46
E00060282,146,39
E00060283,123,86
E00060284,176,41
E00060285,131,40
E00060286,133,23
E00060287,143,12
E00060288,130,53
E00060289,118,74
E00060290,121,73
E00060291,90,23
E00060292,138,38
E00060293,132,46
E00060294,121,87
E00060295,112,37
E00060296,118,72
E00060297,101,66
E00060298,117,40
E00060299,130,79
E00060302,137,107
E00060303,93,41
E00060304,84,14
E00060305,138,21
E00060306,122,62
E00060307,125,43
E00060308,122,34
E00060309,130,47
E00060310,90,22
E00060311,117,102
E00060312,129,107
E00060313,94,56
E00060314,173,131
E00060315,119,99
E00060316,198,176
E00060317,121,40
E00060318,126,44
E00060319,123,42
E00060320,130,117
E00060321,128,119
E00060322,130,90
E00060323,141,122
E00060324,129,121
E00060325,133,69
E00060326,131,121
E00060327,129,115
E00060328,110,29
E00060329,125,107
E00060330,135,125
E00060331,124,114
E00060332,128,125
E00060333,115,111
E00060334,124,118
E00060335,114,102
E00060336,122,39
E00060337,147,109
E00060338,124,117
E00060339,127,114
E00060340,144,127
E00060341,113,101
E00060342,126,103
E00060343,113,37
E00060344,134,118
E00060345,155,101
E00060346,136,63
E00060347,131,123
E00060348,153,119
E00060349,120,115
E00060350,108,48
E00060351,138,124
E00060352,133,130
E00060353,134,106
E00060354,123,108
E00060355,130,123
E00060356,142,98
E00060357,128,98
E00060358,158,79
E00060359,137,127
E00060360,126,120
E00060361,131,54
E00060362,125,113
E00060363,131,125
E00060364,119,106
E00060365,79,73
E00060366,123,114
E00060367,129,124
E00060368,122,107
E00060369,121,118
E00060370,132,124
E00060371,110,98
E00060372,139,132
E00060373,108,99
E00060374,139,131
E00060375,127,95
E00060376,116,101
E00060377,118,6
E00060379,154,39
E00060381,110,62
E00060382,103,31
E00060383,116,59
E00060384,140,38
E00060385,121,95
E00060386,112,2
E00060387,117,46
E00060388,82,53
E00060390,148,30
E00060391,76,24
E00060392,81,40
E00060393,120,77
E00060394,88,42
E00060395,114,50
E00060396,134,96
E00060397,102,51
E00060398,150,40
E00060399,141,48
E00060400,130,65
E00060401,122,67
E00060402,130,22
E00060403,130,51
E00060404,124,45
E00060405,130,63
E00060406,120,52
E00060407,123,56
E00060408,144,19
E00060409,131,41
E00060410,132,42
E00060411,125,42
E00060412,141,20
E00060413,103,34
E00060414,119,65
E00060415,130,57
E00060416,123,49
E00060417,116,99
E00060418,150,141
E00060419,136,83
E00060420,134,90
E00060421,139,57
E00060422,128,61
E00060423,151,62
E00060424,136,55
E00060426,130,117
E00060427,189,176
E00060428,118,115
E00060429,122,117
E00060430,114,110
E00060431,134,36
E00060432,151,51
E00060433,139,60
E00060434,137,48
E00060435,136,68
E00060436,134,94
E00060437,132,110
E00060438,129,120
E00060439,128,117
E00060440,105,80
E00060441,121,107
E00060442,105,96
E00060443,120,110
E00060444,132,102
E00060445,130,98
E00060446,131,87
E00060447,117,106
E00060448,135,84
E00060449,132,117
E00060450,138,74
E00060451,129,97
E00060452,132,118
E00060453,107,97
E00060454,134,15
E00060455,124,66
E00060456,139,71
E00060457,135,8
E00060458,148,86
E00060459,136,70
E00060460,143,63
E00060461,166,25
E00060462,206,170
E00060463,131,94
E00060464,126,115
E00060465,124,58
E00060466,137,100
E00060467,132,108
E00060468,194,169
E00060469,120,62
E00060470,126,90
E00060471,138,85
E00060472,124,74
E00060473,129,10
E00060474,138,81
E00060475,122,29
E00060476,162,46
E00060477,147,44
E00060478,141,33
E00060479,152,38
E00060480,143,14
E00060481,127,38
E00060482,113,31
E00060483,132,41
E00060484,136,82
E00060485,119,78
E00060486,137,86
E00060487,88,27
E00060488,130,12
E00060489,129,60
E00060490,130,74
E00060491,138,96
E00060492,140,88
E00060493,145,79
E00060494,121,110
E00060495,114,74
E00060496,132,104
E00060497,136,100
E00060498,138,127
E00060499,129,117
E00060500,126,114
E00060501,134,52
E00060502,117,84
E00060503,215,200
E00060504,132,117
E00060505,120,113
E00060506,131,124
E00060507,114,108
E00060509,156,118
E00060512,131,98
E00060513,109,92
E00060514,165,50
E00060515,150,48
E00060516,111,33
E00060517,163,20
E00060518,145,49
E00060519,155,72
E00060521,128,31
E00060523,94,24
E00060524,118,40
E00060525,175,10
E00060526,199,38
E00060527,151,55
E00060528,203,72
E00060529,152,43
E00060530,141,21
E00060531,153,61
E00060532,138,52
E00060533,150,64
E00060534,129,93
E00060535,126,124
E00060536,155,146
E00060537,124,115
E00060540,112,69
E00060541,125,102
E00060542,135,123
E00060543,156,136
E00060544,119,112
E00060545,126,91
E00060546,124,111
E00060547,115,83
E00060548,118,93
E00060549,109,104
E00060550,81,51
E00060552,135,103
E00060553,158,147
E00060554,132,78
E00060555,111,21
E00060703,126,15
E00060722,130,19
E00060723,145,15
E00060725,104,23
E00060869,144,8
E00060871,130,4
E00060873,134,4
E00060874,199,54
E00060875,153,28
E00060877,169,21
E00060878,141,24
E00061021,130,49
E00061022,138,96
E00061023,135,77
E00061024,174,98
E00061025,146,90
E00061026,141,71
E00061027,129,68
E00061028,131,72
E00061029,134,98
E00061030,127,73
E00061031,130,84
E00061032,114,68
E00061033,128,85
E00061034,139,62
E00061035,110,38
E00061036,191,38
E00061037,146,46
E00061038,124,84
E00061039,167,44
E00061040,119,98
E00061041,115,100
E00061042,109,73
E00061043,127,106
E00061044,119,114
E00061045,142,10
E00061046,124,95
E00061047,117,90
E00061048,130,102
E00061049,118,104
E00061050,126,26
E00061052,117,47
E00061053,154,90
E00061054,116,77
E00061055,111,94
E00061056,120,43
E00061057,113,103
E00061058,118,68
E00061059,115,106
E00061061,111,62
E00061062,113,35
E00061063,125,114
E00061064,144,46
E00061091,158,44
E00061096,115,30
E00061105,132,30
E00061106,122,19
E00061107,130,20
E00061108,106,24
E00061159,124,31
E00061160,192,63
E00061161,117,20
E00061162,118,94
E00061163,169,130
E00061164,120,31
E00061165,129,119
E00061166,126,11
E00061167,163,117
E00061168,113,23
E00061169,115,18
E00061170,224,104
E00061171,118,24
E00061172,92,87
E00061173,102,25
E00061174,57,13
E00061175,152,34
E00061176,94,89
E00061177,211,171
E00061178,121,113
E00061179,110,5
E00061180,121,99
E00061181,124,52
E00061182,141,134
E00061232,120,104
E00061233,125,42
E00061234,98,13
E00061235,110,43
E00061236,70,12
E00061237,118,103
E00061238,126,113
E00061239,124,94
E00061240,119,95
E00061241,129,90
E00061242,118,91
E00061243,115,67
E00061244,121,83
E00061245,119,85
E00061246,126,31
E00061247,127,78
E00061358,44,20
E00061364,67,4
E00061365,128,47
E00061366,126,22
E00061369,124,32
E00061370,123,69
E00061372,56,27
E00061374,132,21
E00061377,130,105
E00061407,130,112
E00061409,129,121
E00061410,139,128
E00061411,124,118
E00061412,129,122
E00061418,135,121
E00061419,124,100
E00061422,133,117
E00061427,113,102
E00061428,125,113
E00061429,113,74
E00061445,142,118
E00061458,123,87
E00061459,124,75
E00061460,132,107
E00061462,134,118
E00061464,135,127
E00061465,150,142
E00061466,119,94
E00061467,126,122
E00061468,125,115
E00061469,131,120
E00061470,123,109
E00061471,125,119
E00061474,119,111
E00061485,163,72
E00061486,147,94
E00061487,131,75
E00061488,119,72
E00061489,113,71
E00061490,122,98
E00061491,119,44
E00061492,145,89
E00061493,141,30
E00061494,127,8
E00061495,134,6
E00061496,127,68
E00061497,123,72
E00061498,122,96
E00061499,130,98
E00061500,122,115
E00061501,117,76
E00061502,125,107
E00061503,116,84
E00061504,120,58
E00061505,121,75
E00061506,137,95
E00061507,154,111
E00061508,141,68
E00061509,131,109
E00061510,123,79
E00061511,147,97
E00061512,139,93
