areacd,total,value
E00045662,130,58
E00045663,164,112
E00045664,146,101
E00045665,159,62
E00045666,126,56
E00045667,233,88
E00045668,218,107
E00045669,207,46
E00045670,144,72
E00045671,131,57
E00045672,133,97
E00045673,126,26
E00045674,133,73
E00045675,108,104
E00045676,130,122
E00045677,122,74
E00045678,131,98
E00045679,119,87
E00045680,158,76
E00045681,152,52
E00045682,112,52
E00045683,118,101
E00045684,108,42
E00045685,115,105
E00045686,129,43
E00045687,123,51
E00045688,111,83
E00045689,118,111
E00045690,194,139
E00045691,119,103
E00045692,94,44
E00045693,115,102
E00045694,126,85
E00045695,129,91
E00045696,98,51
E00045697,119,56
E00045698,128,68
E00045699,131,89
E00045700,122,48
E00045701,112,101
E00045702,138,80
E00045703,101,83
E00045705,131,84
E00045706,145,68
E00045708,121,87
E00045710,127,85
E00045711,120,93
E00045712,129,71
E00045713,128,75
E00045716,127,7
E00045718,125,68
E00045719,139,15
E00045720,177,88
E00045721,140,95
E00045722,99,77
E00045724,141,130
E00045726,72,3
E00045727,135,12
E00045728,135,87
E00045729,115,75
E00045730,127,95
E00045731,125,70
E00045732,122,95
E00045734,136,118
E00045735,130,3
E00045736,132,86
E00045737,142,97
E00045739,133,86
E00045740,101,43
E00045741,132,63
E00045742,133,99
E00045743,139,127
E00045744,90,72
E00045745,139,35
E00046051,145,102
E00046052,116,96
E00046053,153,75
E00046056,136,44
E00046057,137,123
E00046058,158,123
E00046059,156,99
E00046060,125,25
E00046061,125,68
E00046062,129,53
E00046063,115,87
E00046064,135,53
E00046065,134,74
E00046066,117,14
E00046067,138,60
E00046068,123,49
E00046069,133,87
E00046070,121,49
E00046071,140,91
E00046073,109,71
E00046074,103,50
E00046075,115,31
E00046076,114,2
E00046080,115,29
E00046081,143,83
E00046082,143,1
E00046083,116,82
E00046085,128,62
E00046086,126,90
E00046087,121,65
E00046088,125,100
E00046089,125,77
E00046090,121,98
E00046091,135,9
E00046093,96,81
E00046094,131,39
E00046095,129,113
E00046096,142,121
E00046097,129,86
E00046098,97,13
E00046099,127,72
E00046100,129,76
E00046101,125,97
E00046102,123,97
E00046103,131,116
E00046104,113,87
E00046105,112,98
E00046106,105,53
E00046107,121,59
E00046108,142,126
E00046109,160,40
E00046110,137,82
E00046111,133,113
E00046112,123,104
E00046113,112,87
E00046114,99,84
E00046115,103,83
E00046116,114,96
E00046117,146,117
E00046118,96,78
E00046119,154,105
E00046120,132,113
E00046121,120,85
E00046122,166,47
E00046123,135,124
E00046124,110,44
E00046125,134,119
E00046126,122,57
