areacd,total,value
E00132244,111,76
E00132261,197,155
E00132262,128,67
E00132263,119,40
E00132264,187,92
E00132265,119,103
E00132266,126,37
E00132267,153,93
E00132268,155,95
E00132269,130,110
E00132270,143,81
E00132271,212,168
E00132272,173,112
E00132273,149,30
E00132274,131,99
E00132275,144,120
E00132276,130,51
E00132277,146,104
E00132278,164,149
E00132279,116,106
E00132280,118,85
E00132281,120,107
E00132282,118,114
E00132283,113,81
E00132309,116,80
E00132312,78,53
E00132313,84,62
E00132315,158,109
E00132316,59,57
E00132319,109,91
E00132320,63,38
E00132343,149,127
E00132344,154,108
E00132345,136,123
E00132346,105,49
E00132350,81,64
E00132392,97,66
E00132393,149,126
E00132394,58,42
E00132395,55,49
E00132396,104,87
E00132397,123,107
E00132398,147,121
E00132399,158,143
E00132400,112,87
E00132532,119,88
E00132533,85,63
E00132534,74,42
E00132536,103,85
E00132537,69,56
E00132538,52,27
E00132539,205,164
E00132540,105,82
E00132610,121,97
E00132611,128,97
E00132612,187,166
E00132614,165,118
E00132615,119,98
E00132616,129,106
E00132617,118,113
E00132618,134,116
E00132619,102,61
E00132620,134,43
E00132621,134,100
E00132622,95,80
E00132623,155,126
E00132624,88,67
E00132625,57,48
E00132626,119,109
E00132628,123,57
E00132629,148,123
E00132630,140,87
E00133085,57,42
E00133086,161,97
E00133087,86,58
E00133088,111,90
E00133936,212,132
E00133937,137,113
E00133938,100,83
E00133939,132,88
E00133940,129,116
E00133941,134,72
E00133942,71,60
E00133982,72,56
E00133983,48,32
E00169334,103,50
E00169335,95,82
E00169336,77,70
E00169344,126,113
E00169345,126,105
E00169346,124,90
