areacd,total,value
E01015023,686,389
E01015024,648,473
E01015025,655,607
E01015026,769,359
E01015027,647,495
E01015028,642,232
E01015029,716,366
E01015030,757,263
E01015031,673,308
E01015032,804,209
E01015033,626,563
E01015034,516,429
E01015035,634,551
E01015036,655,452
E01015037,601,414
E01015038,712,578
E01015039,461,283
E01015040,589,291
E01015041,642,410
E01015042,650,423
E01015043,675,186
E01015044,734,354
E01015045,748,188
E01015046,931,110
E01015047,633,147
E01015048,592,134
E01015049,594,275
E01015050,665,119
E01015051,521,205
E01015052,806,162
E01015053,581,123
E01015054,528,68
E01015055,603,308
E01015056,746,480
E01015057,657,274
E01015058,559,223
E01015059,639,419
E01015060,644,412
E01015061,614,286
E01015062,711,275
E01015063,634,373
E01015064,713,656
E01015065,635,325
E01015066,605,535
E01015067,613,581
E01015068,628,555
E01015069,674,391
E01015070,1078,601
E01015071,696,430
E01015072,607,350
E01015073,642,322
E01015074,667,324
E01015075,648,331
E01015076,628,526
E01015077,748,494
E01015078,484,197
E01015079,628,522
E01015080,471,101
E01015081,626,308
E01015082,693,289
E01015083,687,317
E01015084,620,418
E01015085,716,549
E01015086,621,268
E01015087,560,265
E01015088,620,163
E01015089,741,472
E01015090,567,477
E01015091,629,478
E01015092,483,271
E01015093,634,338
E01015094,596,333
E01015095,645,435
E01015096,612,282
E01015097,830,773
E01015098,647,458
E01015099,634,469
E01015100,612,391
E01015101,616,568
E01015102,763,517
E01015103,624,481
E01015104,592,540
E01015105,621,508
E01015106,531,381
E01015107,593,441
E01015108,762,521
E01015109,641,500
E01015110,609,541
E01015111,703,500
E01015112,559,474
E01015113,627,569
E01015114,622,515
E01015115,697,349
E01015116,603,486
E01015117,592,455
E01015118,676,608
E01015119,639,543
E01015120,608,493
E01015121,645,599
E01015122,642,559
E01015123,721,558
E01015124,692,609
E01015125,620,528
E01015126,637,586
E01015127,616,486
E01015128,758,606
E01015129,674,460
E01015130,616,451
E01015131,643,598
E01015132,668,464
E01015133,649,600
E01015134,678,506
E01015135,630,492
E01015136,628,507
E01015137,655,520
E01015138,699,578
E01015139,613,442
E01015140,653,511
E01015141,746,641
E01015142,602,475
E01015143,612,411
E01015144,613,334
E01015145,668,97
E01015146,676,259
E01015147,503,404
E01015148,661,379
E01015149,623,166
E01015150,638,464
E01015151,914,188
E01015152,947,139
E01015153,903,138
E01015155,934,104
E01015156,758,184
E01015157,1193,387
E01015158,1334,387
E01015159,767,467
E01015160,624,560
E01015161,640,379
E01015162,633,319
E01015163,593,406
E01015164,734,427
E01015165,643,499
E01015166,821,374
E01015167,683,437
E01015168,814,468
E01015169,860,379
E01015170,748,314
E01015171,809,368
E01015172,822,416
E01015173,760,461
E01015174,681,558
E01015175,660,352
E01015176,588,332
E01015177,727,464
E01015178,810,355
E01015179,659,291
E01015180,871,318
E01015181,985,382
E01015182,837,389
E01015183,582,418
E01015184,620,551
E01015185,681,446
E01015186,681,369
E01015187,705,544
E01015188,667,518
E01015189,564,353
E01015190,708,507
E01015191,662,396
E01015192,589,345
E01015193,552,404
E01015194,606,415
E01015195,639,436
E01015196,593,246
E01015197,637,592
E01015198,740,666
E01015199,628,585
E01015200,442,331
E01015201,580,450
