areacd,total,value
E00015166,142,7
E00015167,248,73
E00015168,166,41
E00015169,113,30
E00015171,129,10
E00015172,76,12
E00015173,123,9
E00015175,104,19
E00015176,211,51
E00015178,75,9
E00015179,112,21
E00015180,158,19
E00015181,139,56
E00015182,92,33
E00015183,56,9
E00015184,75,14
E00015185,155,69
E00015186,65,14
E00015187,95,22
E00015188,49,11
E00015189,116,21
E00015190,172,26
E00015191,81,13
E00015192,99,10
E00015193,55,21
E00015194,94,8
E00015195,128,3
E00015196,84,30
E00015197,139,2
E00015198,123,8
E00015199,192,9
E00015201,136,97
E00015202,67,2
E00015620,123,16
E00015622,134,43
E00015623,208,43
E00015624,151,38
E00015625,134,17
E00015627,126,60
E00015628,193,67
E00015629,118,13
E00015630,158,31
E00015631,69,9
E00015632,112,24
E00015634,150,17
E00015635,168,57
E00015636,140,42
E00015637,132,34
E00015638,145,70
E00015660,137,23
E00015661,159,58
E00015662,142,18
E00015663,129,27
E00015664,147,47
E00015665,125,35
E00015667,115,30
E00015668,103,20
E00015669,105,18
E00015670,113,28
E00015671,118,19
E00015672,187,81
E00015673,125,29
E00015674,129,70
E00015675,161,33
E00015676,147,31
E00015677,144,34
E00015678,219,117
E00015679,141,69
E00015680,125,42
E00015681,134,64
E00015682,130,19
E00015683,85,15
E00015684,165,99
E00015686,128,44
E00015687,176,38
E00015688,158,89
E00015689,105,12
E00015690,127,18
E00015691,116,8
E00015692,149,36
E00015693,125,33
E00015694,137,43
E00015695,143,19
E00015696,133,26
E00015697,126,23
E00015698,123,19
E00015699,120,14
E00015700,134,18
E00015701,121,22
E00015702,112,18
E00015703,177,68
E00015704,108,13
E00015706,204,37
E00015707,156,21
E00015708,119,6
E00019722,122,35
E00019752,168,59
E00019754,217,43
E00019766,123,28
E00019767,121,18
E00019768,118,67
E00019769,126,22
E00019770,101,25
E00019772,121,30
E00019773,129,42
E00019774,155,53
E00019777,139,49
E00019778,103,56
E00019779,221,71
E00019780,131,16
E00019781,177,24
E00019782,112,2
E00019783,155,19
E00019784,153,22
E00019785,108,20
E00019787,123,27
E00019788,129,38
E00019789,184,21
E00019790,125,21
E00019791,231,56
E00019793,153,32
E00019794,113,23
E00019796,117,16
E00019797,107,22
E00019800,133,62
E00019801,107,9
E00019802,102,10
E00019803,111,21
E00019804,111,18
E00019805,115,50
E00019806,196,55
E00019807,112,56
E00019810,174,25
E00019812,105,14
E00019813,135,22
E00019814,100,8
E00019819,124,50
E00019823,101,10
E00019824,79,12
E00019825,92,18
E00019827,107,13
E00019828,97,13
E00019829,105,19
E00019831,141,21
E00019833,134,28
E00019834,103,9
E00019836,151,20
E00019838,117,14
E00019839,206,23
E00019841,134,20
E00019842,107,39
E00019843,204,67
E00019844,97,14
E00019845,102,13
E00019847,142,25
E00019848,84,20
E00019924,118,24
E00019927,151,23
E00019929,125,12
E00019938,63,11
E00019942,85,16
E00019943,101,40
E00019944,92,10
E00019945,119,22
E00019948,115,14
E00019958,141,14
E00019960,119,25
E00019961,123,12
E00019962,122,17
E00019964,147,17
E00019967,243,67
E00019968,126,20
E00019972,92,0
E00019974,124,3
E00019975,82,2
E00019978,85,17
E00019979,109,0
E00019980,108,7
E00019983,98,25
E00019985,131,15
E00019987,126,50
E00019989,74,10
E00019991,103,18
E00019992,123,25
E00019993,195,5
E00019994,149,4
E00019996,97,8
E00019998,130,26
E00020003,131,8
E00020004,121,8
E00020005,128,20
E00020006,117,48
E00020036,127,19
E00020094,114,29
E00020095,126,31
E00020096,115,15
E00020097,110,19
E00020098,126,20
E00020099,119,37
E00020100,130,38
E00020102,119,23
E00020103,74,7
E00020104,97,32
E00020105,105,35
E00020106,189,39
E00020107,121,42
E00020108,115,18
E00020109,122,33
E00020110,93,28
E00020111,119,27
E00020112,100,53
E00020113,88,10
E00020114,180,32
E00020115,133,21
E00020116,98,14
E00020117,112,36
E00020118,135,66
E00020119,112,56
E00020120,87,31
E00020121,127,41
E00020122,109,17
E00020123,148,24
E00020124,87,13
E00020125,97,14
E00020126,125,47
E00020127,133,32
E00020128,124,9
E00020129,110,24
E00020130,143,24
E00020131,114,23
E00020132,132,9
E00020136,159,23
E00020137,148,27
E00020138,107,3
E00020139,118,32
E00023927,225,79
E00023936,141,88
E00023944,121,2
E00023945,146,68
E00023947,142,27
E00023972,161,92
E00023973,111,62
E00023976,42,20
E00023978,72,4
E00024010,94,11
E00024011,142,31
E00024012,119,21
E00024016,107,18
E00024017,102,25
E00024018,112,42
E00024020,125,14
E00024024,167,60
E00024026,141,44
E00024028,153,31
E00024029,117,36
E00024030,125,37
E00165807,100,7
E00165808,116,23
E00165809,114,11
E00166630,61,18
E00166632,111,46
E00166633,150,31
E00166635,142,28
E00166637,148,44
E00166638,108,10
E00166640,74,35
E00167478,105,14
E00167479,90,14
E00167480,156,15
E00167481,97,22
E00167482,46,8
E00167491,109,37
E00167492,98,18
E00167494,123,41
E00167496,58,22
E00167497,102,25
E00167499,176,63
E00167500,125,39
E00167503,72,2
E00167760,85,25
E00167763,181,35
