areacd,total,value
E00039623,112,107
E00039653,127,104
E00039654,141,118
E00039655,129,123
E00039656,134,128
E00039657,146,18
E00039658,123,115
E00039659,141,117
E00039660,147,143
E00039661,130,104
E00039662,105,102
E00039663,142,101
E00039664,95,93
E00039665,130,34
E00040086,110,62
E00040087,110,104
E00040088,132,83
E00040089,134,69
E00040090,119,115
E00040091,125,120
E00040092,174,164
E00040093,168,145
E00040094,142,128
E00040096,143,129
E00040097,130,113
E00040098,147,137
E00040099,119,110
E00040100,115,112
E00040101,125,40
E00040102,120,41
E00040103,129,124
E00040104,165,141
E00040105,104,71
E00040107,123,114
E00040108,111,21
E00040109,116,32
E00040110,125,116
E00040111,125,109
E00040112,117,112
E00040113,125,115
E00040114,162,104
E00040115,116,82
E00040116,110,34
E00040117,114,6
E00040118,119,116
E00040119,136,50
E00040120,117,107
E00040121,117,110
E00040122,118,36
E00040123,113,101
E00040124,102,96
E00040125,114,107
E00040126,116,95
E00040127,100,24
E00040128,114,58
E00040129,108,36
E00040130,135,42
E00040131,117,41
E00040132,151,142
E00040133,108,106
E00040134,109,28
E00040135,158,146
E00040136,150,131
E00040137,130,119
E00040138,127,123
E00040139,113,68
E00040140,128,117
E00040141,127,114
E00040142,120,83
E00040143,136,108
E00040144,155,115
E00040145,114,22
E00040146,158,63
E00040147,139,112
E00040148,111,109
E00040149,147,115
E00040150,141,119
E00040151,144,139
E00040152,125,98
E00040913,137,121
E00040914,139,66
E00040915,178,68
E00040916,186,90
E00040917,177,48
E00040918,160,57
E00040919,114,34
E00040920,151,59
E00040921,178,83
E00040922,162,49
E00040923,129,19
E00040924,174,49
E00040925,126,48
E00040928,125,38
E00040929,108,5
E00040930,120,36
E00040931,128,25
E00040932,144,32
E00040933,126,37
E00040956,81,29
E00040957,110,105
E00040958,118,94
E00040959,81,65
E00040960,117,65
E00040961,127,111
E00040962,95,57
E00040963,129,56
E00040964,157,28
E00040965,145,35
E00040966,111,54
E00098756,115,107
E00098758,103,101
E00098759,135,115
E00098761,173,133
E00098763,151,131
E00098764,131,86
E00098765,121,70
E00098786,129,109
E00098787,131,122
E00098788,120,109
E00098789,130,121
E00098790,120,114
E00098791,190,154
E00098793,113,27
E00098797,140,50
E00098806,137,85
E00098807,126,114
E00098808,121,115
E00098809,136,119
E00098810,122,88
E00098811,120,104
E00098812,115,97
E00098813,118,102
E00098814,118,86
E00098815,148,102
E00098816,133,114
E00098817,150,79
E00098818,125,91
E00098819,116,95
E00098820,119,112
E00098821,129,110
E00098822,159,72
E00098823,249,143
E00098824,133,117
E00098825,127,86
E00098826,118,80
E00098827,123,100
E00098828,159,41
E00098829,128,52
E00098830,125,63
E00098831,125,79
E00098832,120,110
E00098833,132,105
E00098834,113,74
E00098835,139,32
E00098836,157,12
E00098837,124,58
E00098838,120,44
E00098839,121,61
E00098840,119,37
E00098841,139,86
E00098842,130,45
E00098843,117,62
E00098844,140,66
E00098845,126,83
E00098846,131,56
E00098847,125,67
E00098848,134,91
E00098849,126,61
E00098850,150,79
E00098852,158,142
E00098854,123,92
E00098858,221,167
E00098862,130,122
E00098864,106,101
E00098865,157,73
E00098866,157,101
E00098867,127,81
E00098868,118,87
E00098869,132,110
E00098894,138,72
E00098895,143,82
E00098896,109,41
E00098897,185,65
E00098898,117,79
E00098899,143,53
E00098900,137,66
E00098901,153,82
E00098902,131,82
E00098903,128,53
E00098904,157,80
E00098905,143,89
E00098906,151,20
E00098907,118,70
E00098908,134,66
E00098909,118,21
E00098910,133,123
E00098911,122,107
E00098912,113,103
E00098913,118,106
E00098914,117,107
E00098915,119,107
E00098916,145,116
E00098917,103,96
E00098918,128,122
E00098919,216,210
E00098920,126,67
E00098921,142,24
E00098922,110,104
E00098923,117,81
E00098924,139,43
E00098925,94,52
E00098926,124,62
E00098927,117,16
E00098928,121,18
E00098929,132,13
E00098930,114,50
E00098931,109,52
E00098932,129,66
E00098933,120,74
E00098934,153,67
E00098935,123,12
E00098936,127,73
E00098937,129,87
E00098938,140,116
E00098968,117,86
E00098969,120,78
E00098970,146,86
E00098971,120,89
E00098972,192,106
E00098973,117,106
E00098974,125,75
E00098975,117,101
E00098976,132,43
E00098977,118,55
E00098978,152,79
E00098979,146,58
E00098980,127,44
E00098981,119,51
E00098982,124,92
E00098983,122,70
E00098984,134,111
E00098985,125,66
E00098986,132,87
E00098987,112,51
E00098988,131,53
E00098989,128,68
E00098990,134,48
E00098991,146,112
E00098992,130,77
E00098993,140,27
E00098994,123,56
E00098995,121,81
E00098996,118,68
E00098997,142,101
E00098998,146,111
E00098999,103,28
E00099000,117,42
E00099001,134,42
E00099002,139,24
E00099003,126,36
E00099004,147,11
E00099005,138,71
E00099006,135,44
E00099007,129,118
E00099008,132,44
E00099009,126,34
E00099010,122,43
E00099011,167,44
E00099012,136,29
E00099013,140,40
E00099014,126,13
E00099015,128,82
E00099016,129,87
E00099017,170,156
E00099018,115,85
E00099019,134,54
E00099020,121,66
E00099021,78,37
E00099022,172,58
E00099023,146,74
E00099024,140,52
E00099025,129,78
E00099026,125,38
E00099027,135,70
E00099028,143,50
E00099029,121,89
E00099030,123,41
E00099031,127,98
E00099032,129,78
E00099033,149,25
E00099034,140,84
E00099035,143,10
E00099036,211,97
E00099037,133,115
E00099039,140,116
E00099040,163,140
E00099043,131,103
E00099046,132,107
E00099047,109,79
E00099048,142,115
E00099049,117,60
E00099051,117,48
E00099052,125,97
E00099054,119,95
E00099055,147,75
E00099056,124,111
E00099057,110,97
E00099058,121,112
E00099059,137,132
E00099060,132,107
E00099061,112,95
E00099062,149,137
E00099063,125,119
E00099064,152,146
E00099065,112,106
E00099066,111,102
E00099067,146,140
E00099068,122,114
E00099069,132,128
E00099070,118,111
E00099071,116,104
E00099072,139,133
E00099073,112,102
E00099074,84,60
E00099075,128,123
E00099076,119,110
E00099077,123,87
E00099078,124,114
E00099079,129,123
E00099080,137,117
E00099081,123,115
E00099082,116,113
E00099083,135,132
E00099084,123,113
E00099085,117,106
E00099086,115,112
E00099087,120,111
E00099088,139,120
E00099089,105,60
E00099090,136,128
E00099091,179,149
E00099092,152,141
E00099093,118,114
E00099094,130,104
E00099095,118,95
E00099096,120,75
E00099097,131,127
E00099098,120,114
E00099125,123,82
E00099126,126,91
E00099127,114,87
E00099128,118,90
E00099129,134,114
