areacd,total,value
E00123460,136,132
E00123461,143,117
E00123462,127,111
E00123463,118,107
E00123464,117,101
E00123465,120,112
E00123466,126,117
E00123467,122,114
E00123468,116,95
E00123469,129,119
E00123471,127,107
E00123472,120,112
E00123473,114,106
E00123474,124,120
E00123475,124,113
E00123476,129,122
E00123477,130,123
E00123478,122,117
E00123479,120,113
E00123480,120,115
E00123481,115,103
E00123482,121,119
E00123483,134,128
E00123484,139,118
E00123485,140,132
E00123486,162,138
E00123487,127,120
E00123488,156,129
E00123489,144,127
E00123549,236,69
E00123550,141,60
E00123551,148,110
E00123552,128,90
E00123553,137,94
E00123554,128,88
E00123555,167,30
E00123556,121,109
E00123557,118,113
E00123558,167,133
E00123559,120,102
E00123560,156,127
E00123562,130,121
E00123563,125,118
E00123564,138,68
E00123565,134,90
E00123567,114,32
E00123568,126,108
E00123569,120,93
E00123570,128,120
E00123571,123,116
E00123572,136,131
E00123573,124,99
E00123574,127,120
E00123575,124,117
E00123576,121,119
E00123577,115,66
E00123578,119,98
E00123579,108,95
E00123580,126,102
E00123581,141,87
E00123582,133,110
E00123583,113,91
E00123584,143,119
E00123585,51,25
E00123586,129,89
E00123587,43,37
E00123588,192,134
E00123610,148,61
E00123615,148,36
E00123616,149,93
E00123629,116,61
E00123631,104,44
E00123636,157,94
E00123637,140,88
E00123638,127,103
E00123639,125,115
E00123640,111,102
E00123641,127,92
E00123642,127,88
E00123643,141,80
E00123644,123,80
E00123645,168,74
E00123646,114,63
E00123647,158,92
E00123648,123,93
E00123649,126,96
E00123650,119,86
E00123652,114,69
E00123653,126,69
E00123654,124,89
E00123655,135,74
E00123656,110,33
E00123657,133,78
E00123658,122,99
E00123659,146,71
E00123660,151,72
E00123661,117,34
E00123662,130,68
E00123697,126,84
E00123698,113,9
E00123699,126,119
E00123701,120,71
E00123702,135,94
E00123703,68,42
E00123704,162,123
E00123706,143,89
E00123707,125,100
E00123708,115,80
E00123709,124,101
E00123710,125,116
E00123711,177,111
E00123712,255,118
E00123713,144,91
E00123714,128,71
E00123715,192,121
E00123717,103,50
E00123718,166,35
E00123719,134,32
E00123728,188,63
E00123729,159,62
E00123732,130,58
E00123734,141,71
E00123736,118,88
E00123744,155,124
E00123745,131,124
E00123746,126,109
E00123747,133,127
E00123748,128,97
E00123749,130,122
E00123750,118,91
E00123751,133,107
E00123761,92,62
E00123762,161,114
E00123763,157,77
E00123764,123,99
E00123765,115,68
E00123766,151,122
E00123767,115,75
E00123768,120,104
E00123769,207,179
E00123770,130,70
E00123771,150,122
E00123772,151,84
E00123773,145,118
E00123774,152,128
E00123775,134,39
E00123777,109,59
E00123778,178,17
E00123780,214,98
E00123782,151,114
E00123783,152,113
E00123785,137,78
E00123786,113,61
E00123787,134,70
E00123789,125,48
E00123796,113,57
E00123799,92,33
E00123869,129,124
E00123870,121,111
E00123871,120,97
E00123872,138,127
E00123873,112,109
E00123874,129,124
E00123878,178,160
E00123880,124,112
E00123881,226,158
E00123883,123,101
E00123884,123,108
E00123885,120,74
E00123886,137,110
E00123887,111,96
E00123888,125,96
E00123889,128,102
E00123890,117,40
E00123892,117,99
E00123893,147,109
E00125473,148,31
E00125579,200,127
E00125580,133,105
E00125581,135,114
E00125582,150,106
E00125583,137,81
E00125592,133,84
E00125593,119,44
E00125594,125,114
E00125595,130,119
E00125596,120,102
E00125597,127,111
E00125598,107,53
E00125599,149,102
E00125600,51,42
E00125601,137,101
E00125602,125,114
E00125616,152,129
E00125617,141,69
E00125618,134,93
E00125676,126,37
E00125677,159,136
E00125678,122,113
E00125680,126,123
E00125681,164,161
E00125682,134,106
E00125683,145,132
E00125779,52,41
E00125780,60,34
E00125781,108,83
E00125782,146,118
E00125783,108,105
E00125784,119,92
E00125785,126,115
E00125786,91,45
E00125797,133,111
E00125864,128,49
E00125865,134,125
E00125866,153,135
E00125936,114,100
E00125939,140,51
E00125940,124,60
E00125947,177,114
E00125948,106,76
E00125949,135,77
E00125954,139,126
E00125955,112,108
E00125956,129,115
E00125957,132,107
E00167609,110,37
E00167610,112,105
E00167611,112,96
E00167612,112,76
E00167613,117,61
E00167614,109,75
E00167615,116,60
E00167616,114,81
E00167617,115,84
E00167618,119,92
E00167627,113,104
E00167628,109,65
E00167629,122,109
E00167630,109,100
E00167637,118,110
E00170334,137,23
E00170335,125,117
E00170336,165,46
E00170337,114,45
E00170338,98,45
E00170339,111,74
E00170340,108,53
E00170341,104,43
E00170342,130,82
E00170343,97,82
E00170344,129,81
E00170345,121,72
E00170346,142,31
E00170347,84,19
E00170348,126,41
E00170349,77,31
E00170350,136,91
E00170355,118,15
E00170356,126,38
E00170357,115,55
E00170358,41,16
E00170359,116,38
E00170360,103,66
E00170361,99,30
E00170362,91,31
E00170363,72,38
E00170364,67,19
E00170366,96,61
E00170368,134,49
E00170369,121,40
E00170370,128,91
E00170371,134,108
E00170376,107,99
