areacd,total,value
W00005625,136,105
W00005626,230,156
W00005627,125,90
W00005628,125,57
W00005629,131,104
W00005630,125,88
W00005631,141,119
W00005632,120,45
W00005633,124,91
W00005634,142,84
W00005635,158,107
W00005636,145,25
W00005637,137,82
W00005638,131,75
W00005639,134,95
W00005640,136,81
W00005641,124,59
W00005642,128,74
W00005643,119,83
W00005644,70,49
W00005645,151,52
W00005646,112,88
W00005647,170,77
W00005648,134,51
W00005650,130,118
W00005651,164,131
W00005652,128,109
W00005653,107,59
W00005654,162,105
W00005655,115,75
W00005656,126,47
W00005657,150,57
W00005658,127,32
W00005659,148,118
W00005660,126,77
W00005661,129,101
W00005662,136,74
W00005663,131,47
W00005664,120,67
W00005665,156,109
W00005666,151,50
W00005667,153,113
W00005668,123,97
W00005669,126,67
W00005670,121,80
W00005671,133,71
W00005672,122,107
W00005673,227,154
W00005674,137,8
W00005675,73,48
W00005676,130,85
W00005677,108,22
W00005678,124,61
W00005679,109,74
W00005680,157,95
W00005681,118,87
W00005683,148,68
W00005684,116,79
W00005686,142,87
W00005687,127,110
W00005688,120,99
W00005689,140,134
W00005690,118,70
W00005691,121,110
W00005692,126,114
W00005693,128,84
W00005694,113,94
W00005695,116,106
W00005696,131,72
W00005697,122,89
W00005698,121,94
W00005699,123,91
W00005700,127,68
W00005701,117,64
W00005702,125,103
W00005703,130,103
W00005704,146,65
W00005705,135,108
W00005706,114,52
W00005707,123,90
W00005708,164,101
W00005709,132,59
W00005710,130,92
W00005711,130,76
W00005712,128,77
W00005713,120,85
W00005714,149,87
W00005715,130,41
W00005716,134,113
W00005717,146,71
W00005718,132,82
W00005740,118,110
W00005741,120,110
W00005742,123,113
W00005743,124,110
W00005744,118,97
W00005745,147,12
W00005746,117,111
W00005747,127,112
W00005748,129,102
W00005749,120,113
W00005750,130,115
W00005751,132,117
W00005752,125,118
W00005753,129,109
W00005754,137,126
W00005755,125,102
W00005756,129,114
W00005757,136,122
W00005758,141,49
W00005759,116,110
W00005760,142,114
W00005761,124,110
W00005762,123,105
W00005763,125,119
W00005764,148,85
W00005765,128,113
W00005766,134,128
W00005767,117,84
W00005768,119,110
W00005769,129,117
W00005770,102,95
W00005771,127,86
W00005772,168,92
W00005773,120,81
W00005774,134,90
W00005775,123,67
W00005776,138,36
W00005777,146,88
W00005778,135,121
W00005779,119,111
W00005780,133,46
W00005781,126,90
W00005782,115,109
W00005783,133,97
W00005784,153,67
W00005785,155,44
W00005786,153,56
W00005787,121,33
W00005788,143,46
W00005789,137,46
W00005790,136,41
W00005791,129,116
W00005792,125,63
W00005793,132,73
W00005794,117,82
W00005795,121,28
W00005796,146,127
W00005797,175,134
W00005798,114,60
W00005799,130,49
W00005800,121,26
W00005801,126,124
W00005802,120,75
W00005803,125,52
W00005804,121,112
W00005805,124,108
W00005806,105,91
W00005807,112,12
W00005808,125,116
W00005809,115,97
W00005810,109,72
W00005811,123,103
W00005812,152,149
W00005813,124,97
W00005814,135,98
