areacd,total,value
E00090859,160,116
E00090860,153,94
E00090865,58,33
E00090885,139,103
E00090887,60,32
E00090889,231,161
E00090890,149,134
E00090891,146,121
E00090895,152,97
E00090896,140,126
E00090897,161,100
E00090898,143,109
E00090911,159,133
E00090912,150,88
E00090913,141,77
E00090914,140,85
E00090915,59,31
E00090916,98,43
E00090917,172,97
E00091901,78,64
E00091902,138,116
E00091903,137,81
E00091904,201,137
E00091905,120,96
E00091906,184,128
E00091907,169,130
E00108584,193,168
E00108741,141,94
E00108742,90,73
E00152265,85,57
E00152266,187,153
E00152283,124,68
E00152284,156,98
E00152285,126,68
E00152286,128,109
E00152287,138,117
E00152288,136,114
E00152289,124,90
E00152290,134,115
E00152291,145,119
E00152292,123,108
E00152293,129,116
E00152294,142,109
E00152496,125,55
E00152497,177,86
E00152498,99,45
E00152499,155,90
E00152500,139,59
E00152501,157,92
E00152502,110,69
E00152503,124,103
E00152504,167,74
E00152506,163,96
E00152507,146,43
E00152508,112,70
E00152569,126,91
E00152570,119,102
E00152571,127,94
E00152572,115,89
E00152573,110,69
E00152574,118,61
E00152590,146,116
E00152591,156,77
E00152592,63,24
E00152636,143,34
E00152637,107,56
E00152638,131,109
E00152639,155,40
E00152640,118,75
E00152641,127,85
E00152642,125,43
E00152643,169,93
E00152644,124,80
E00152645,126,82
E00152646,143,102
E00152647,131,109
E00152648,120,83
E00152649,121,96
E00152650,104,52
E00152651,130,112
E00152652,131,69
E00152653,128,48
E00152654,142,12
E00152655,97,56
E00152656,111,32
E00152657,151,85
E00152658,175,61
E00152659,88,37
E00152660,130,111
E00152661,133,87
E00152662,113,90
E00152663,147,94
E00152664,114,56
E00152665,141,60
E00152666,128,58
E00152667,144,69
E00152668,113,50
E00152669,123,51
E00152670,224,104
E00152672,217,19
E00152673,161,49
E00152674,123,98
E00152675,135,111
E00152676,132,88
E00152677,94,72
E00152679,83,54
E00152680,111,106
E00152681,122,105
E00152682,132,86
E00153385,120,79
E00153418,150,69
E00153419,146,108
E00153420,137,123
E00153421,120,100
E00153422,142,113
E00153423,68,55
E00153424,126,87
E00153425,77,71
E00153426,122,98
E00153427,124,85
E00153428,69,46
E00153429,134,119
E00153430,130,103
E00153431,53,41
E00153432,56,42
E00153433,83,59
E00153434,92,77
E00153435,66,61
E00153436,122,108
E00153437,63,50
E00153438,123,103
E00153439,133,103
E00153441,51,35
E00153442,185,160
E00153443,136,110
E00153444,168,106
E00153445,140,60
E00153446,129,68
E00153447,129,85
E00153448,129,111
E00153449,119,114
E00153473,135,78
E00153474,135,79
E00153475,121,76
E00153476,126,75
E00153477,134,96
E00153478,128,80
E00153479,206,104
E00153480,121,113
E00153481,136,117
E00153483,144,82
E00153484,120,109
E00153485,173,55
E00153486,188,120
E00153487,130,122
E00153488,137,96
E00153489,131,122
E00153490,152,77
E00153491,153,105
E00153492,149,88
E00153493,138,88
E00153494,150,103
E00153496,137,106
E00153497,132,118
E00153498,140,128
E00153499,132,127
E00153500,126,116
E00153501,184,104
E00153502,137,128
E00153503,138,125
E00153504,116,50
E00153506,128,82
E00153507,111,60
E00153508,131,71
E00153509,124,58
E00153510,145,44
E00153511,129,79
E00153512,125,51
E00153513,124,57
E00153514,120,72
E00153516,131,40
E00153517,144,69
E00153518,127,73
E00153519,128,76
E00153520,141,66
E00153521,116,106
E00153522,131,58
E00153523,136,66
E00153524,138,73
E00153525,179,70
E00153526,134,102
E00153527,138,65
E00153528,158,89
E00153529,145,38
E00153530,132,102
E00153531,162,122
E00153532,167,148
E00153533,126,111
E00153534,133,111
E00153535,113,47
E00153536,119,90
E00153537,132,96
E00153538,175,152
E00153539,139,103
E00153540,129,69
E00153542,118,58
E00153543,120,100
E00153544,128,95
E00153548,122,75
E00153549,156,139
E00153550,171,127
E00153553,130,112
E00153554,110,88
E00153556,116,103
E00153557,118,96
E00153558,105,63
E00153559,177,132
E00153560,61,51
E00153568,53,34
E00153569,119,93
E00153570,110,77
E00153571,120,102
E00153572,130,116
E00153573,132,121
E00153574,134,118
E00153575,129,100
E00153576,122,61
E00153577,123,112
E00153578,118,106
E00153579,129,34
E00153580,136,47
E00153581,129,47
E00153582,114,70
E00153583,132,77
E00153584,131,101
E00153585,126,56
E00153586,129,108
E00153587,123,107
E00153588,123,111
E00153589,136,125
E00153590,112,109
E00153610,131,42
E00153613,128,44
E00153614,125,31
E00153630,153,80
E00153631,169,124
E00153633,142,109
E00153637,120,57
E00153638,115,73
E00153639,123,66
E00153656,90,69
E00153657,116,64
E00153658,116,28
E00153659,125,84
E00153660,129,80
E00153661,142,65
E00153662,152,97
E00153663,129,56
E00153664,138,83
E00153665,135,60
E00153666,129,47
E00153667,126,74
E00153668,134,22
E00153669,123,75
E00153670,122,44
E00153694,125,102
E00153696,123,110
E00153697,131,123
E00153698,140,133
E00153699,132,119
E00153700,127,125
E00153701,133,106
E00153702,123,104
E00153704,127,117
E00153705,124,111
E00153706,126,111
E00153707,125,103
E00153708,75,49
E00153709,120,90
E00153710,99,65
E00153711,102,77
E00153712,132,63
E00153713,117,99
E00153714,131,93
E00153715,133,117
E00153716,119,97
E00153717,177,131
E00153718,82,22
E00153719,81,60
E00153720,106,61
E00153721,63,47
E00153722,194,162
E00165838,86,71
E00165839,135,80
E00169930,126,80
E00169931,120,106
